"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Barry Bonds","- - -","2986","12606","762","2227","1996","514","20.3 %","12.2 %",".309",".285",".298",".444",".607",".435","173","30.4","1173.8","67.6","164.4","1109"
"Alex Rodriguez","- - -","2784","12207","696","2021","2086","329","11.0 %","18.7 %",".255",".314",".295",".380",".550",".395","141","35.4","665.1","69.0","113.7","1274"
"Rickey Henderson","- - -","3081","13346","297","2295","1115","1406","16.4 %","12.7 %",".140",".305",".279",".401",".419",".372","132","144.4","650.9","-56.1","106.3","194"
"Cal Ripken","Orioles","3001","12883","431","1647","1695","36","8.8 %","10.1 %",".172",".277",".276",".340",".447",".346","112","-11.0","165.4","310.1","92.5","1010978"
"Wade Boggs","- - -","2440","10740","118","1513","1013","24","13.1 %","6.9 %",".115",".344",".328",".415",".443",".381","132","-12.2","399.0","105.8","88.3","1001124"
"Albert Pujols","- - -","2823","12231","656","1828","2075","114","10.8 %","10.5 %",".249",".287",".300",".379",".549",".388","144","-40.7","624.7","-148.1","87.7","1177"
"Chipper Jones","Braves","2499","10614","468","1619","1623","150","14.2 %","13.3 %",".226",".313",".303",".401",".529",".397","141","-3.7","559.1","-35.3","84.6","97"
"Adrian Beltre","- - -","2933","12130","477","1524","1707","121","7.0 %","14.3 %",".194",".300",".286",".339",".480",".350","115","-11.1","204.7","218.4","84.1","639"
"Jeff Bagwell","Astros","2150","9431","449","1517","1529","202","14.9 %","16.5 %",".244",".317",".297",".408",".540",".405","149","6.5","594.6","-82.1","80.2","547"
"Ken Griffey Jr.","- - -","2671","11304","630","1662","1836","184","11.6 %","15.7 %",".254",".287",".284",".370",".538",".384","131","-7.3","444.1","-39.6","77.7","327"
"Mike Trout","Angels","1199","5273","285","903","752","200","15.2 %","21.2 %",".276",".348",".305",".419",".581",".419","172","59.3","511.2","19.9","73.4","10155"
"Derek Jeter","Yankees","2747","12602","260","1923","1311","358","8.6 %","14.6 %",".130",".350",".310",".377",".440",".360","119","24.0","332.7","-19.8","73.1","826"
"Frank Thomas","- - -","2322","10075","521","1494","1704","32","16.5 %","13.9 %",".254",".304",".301",".419",".555",".416","154","-38.2","653.0","-267.4","72.1","255"
"Miguel Cabrera","- - -","2400","10236","477","1429","1694","38","11.1 %","17.2 %",".228",".344",".315",".392",".543",".395","146","-69.1","497.6","-155.4","70.6","1744"
"Rafael Palmeiro","- - -","2831","12046","569","1663","1835","97","11.2 %","11.2 %",".226",".283",".288",".371",".515",".380","130","-11.2","442.8","-145.4","70.0","1266"
"Scott Rolen","- - -","2038","8518","316","1211","1287","118","10.6 %","16.6 %",".210",".305",".281",".364",".490",".368","122","10.5","252.4","180.3","69.9","970"
"Ivan Rodriguez","- - -","2543","10270","311","1354","1332","127","5.0 %","14.4 %",".168",".321",".296",".334",".464",".344","104","-24.9","37.0","320.0","69.2","1275"
"Jim Thome","- - -","2543","10313","612","1583","1699","19","16.9 %","24.7 %",".278",".322",".276",".402",".554",".406","145","-35.3","554.5","-200.0","69.1","409"
"Larry Walker","- - -","1988","8030","383","1355","1311","230","11.4 %","15.3 %",".252",".332",".313",".400",".565",".412","140","21.5","427.9","3.5","68.7","455"
"Carlos Beltran","- - -","2586","11031","435","1582","1587","312","9.8 %","16.3 %",".207",".299",".279",".350",".486",".358","118","67.5","312.4","4.3","67.9","589"
"Barry Larkin","Reds","2180","9057","198","1329","960","379","10.4 %","9.0 %",".150",".306",".295",".371",".444",".360","118","43.4","240.8","132.5","67.0","335"
"Andruw Jones","- - -","2196","8664","434","1204","1289","152","10.3 %","20.2 %",".231",".273",".254",".337",".486",".352","111","-5.3","116.3","278.8","67.0","96"
"Manny Ramirez","- - -","2302","9774","555","1544","1831","38","13.6 %","18.5 %",".273",".338",".312",".411",".585",".418","153","-35.0","624.8","-276.6","66.4","210"
"Tim Raines","- - -","2502","10359","170","1571","980","807","12.8 %","9.3 %",".131",".312",".294",".385",".425",".361","125","100.4","408.2","-109.6","66.4","1406"
"Mark McGwire","- - -","1874","7660","583","1167","1414","12","17.2 %","20.8 %",".325",".255",".263",".394",".588",".415","157","-2.5","555.0","-138.5","66.3","1008559"
"Craig Biggio","Astros","2850","12504","291","1844","1175","414","9.3 %","14.0 %",".152",".311",".281",".363",".433",".352","115","38.3","276.9","-23.0","65.8","549"
"Edgar Martinez","Mariners","2055","8678","309","1219","1262","49","14.8 %","13.9 %",".204",".335",".312",".418",".515",".405","147","-21.0","500.5","-133.5","65.5","1086"
"Paul Molitor","- - -","2558","11611","228","1709","1262","474","9.3 %","10.2 %",".144",".328",".308",".372",".452",".364","123","45.1","372.0","-123.2","65.5","1009040"
"Lou Whitaker","Tigers","2240","9363","241","1310","1024","134","12.1 %","11.0 %",".155",".289",".276",".363",".431",".354","119","-1.2","205.6","117.0","65.0","1013846"
"Tony Gwynn","Padres","2440","10232","135","1383","1138","319","7.7 %","4.2 %",".120",".341",".338",".388",".459",".370","132","11.3","401.5","-92.2","65.0","1005166"
"Ozzie Smith","- - -","2414","10110","27","1188","747","540","10.1 %","5.4 %",".067",".275",".262",".339",".329",".306","90","51.7","-61.1","363.2","64.9","1012186"
"Eddie Murray","- - -","2705","11461","450","1461","1734","104","10.6 %","11.5 %",".189",".290",".287",".361",".476",".365","127","4.0","363.9","-124.9","64.6","1009386"
"Jim Edmonds","- - -","2011","7980","393","1251","1199","67","12.5 %","21.7 %",".243",".324",".284",".376",".527",".385","132","-8.0","317.7","73.3","64.5","1153"
"Mike Schmidt","Phillies","1480","6231","358","941","1043","66","15.1 %","16.7 %",".268",".276",".275",".385",".543",".399","151","-4.7","361.9","48.0","64.1","1011586"
"Mike Piazza","- - -","1912","7745","427","1048","1335","17","9.8 %","14.4 %",".237",".314",".308",".377",".545",".390","140","-31.6","370.1","32.7","63.7","893"
"Roberto Alomar","- - -","2379","10400","210","1508","1134","474","9.9 %","11.0 %",".143",".321",".300",".371",".443",".359","118","41.6","272.5","15.8","63.6","860"
"Chase Utley","- - -","1937","7863","259","1103","1025","154","9.2 %","15.2 %",".190",".297",".275",".358",".465",".356","118","76.2","256.6","117.2","62.9","1679"
"Kenny Lofton","- - -","2103","9235","130","1528","781","622","10.2 %","11.0 %",".124",".326",".299",".372",".423",".352","109","68.5","181.3","139.4","62.4","246"
"Gary Sheffield","- - -","2576","10947","509","1636","1676","253","13.5 %","10.7 %",".222",".285",".292",".393",".514",".391","141","9.7","575.7","-300.9","62.1","114"
"Alan Trammell","Tigers","2135","8824","183","1176","969","233","9.1 %","9.1 %",".134",".299",".287",".353",".421",".345","113","2.0","133.8","173.3","61.7","1013157"
"Ryne Sandberg","- - -","2164","9282","282","1318","1061","344","8.2 %","13.6 %",".167",".304",".285",".344",".452",".351","115","23.9","178.6","103.9","60.9","1011411"
"Sammy Sosa","- - -","2354","9896","609","1475","1667","234","9.4 %","23.3 %",".261",".301",".273",".344",".534",".370","124","-7.9","300.4","-8.1","60.1","302"
"George Brett","Royals","1976","8511","266","1170","1242","122","10.4 %","8.5 %",".195",".305",".305",".376",".500",".379","135","2.2","354.6","-58.5","59.9","1001400"
"Bobby Abreu","- - -","2425","10081","288","1453","1363","400","14.6 %","18.3 %",".183",".339",".291",".395",".475",".378","129","34.9","416.6","-141.3","59.8","945"
"Ichiro Suzuki","- - -","2651","10728","117","1420","780","509","6.0 %","10.1 %",".091",".338",".311",".355",".402",".328","104","96.0","158.6","59.9","57.9","1101"
"Robin Yount","Brewers","2160","9380","225","1326","1154","204","8.7 %","11.1 %",".161",".306",".290",".352",".451",".355","121","10.6","239.6","4.3","57.7","1014396"
"John Olerud","- - -","2234","9063","255","1139","1230","11","14.1 %","11.2 %",".170",".309",".295",".398",".465",".377","130","-19.6","322.1","-45.3","57.3","1093"
"Robinson Cano","- - -","2185","9264","324","1234","1272","51","6.6 %","12.6 %",".188",".318",".302",".352",".490",".360","125","-33.4","241.4","-0.6","57.3","3269"
"Fred McGriff","- - -","2460","10174","493","1349","1550","72","12.8 %","18.5 %",".225",".309",".284",".377",".509",".383","134","-8.6","409.1","-186.3","56.9","293"
"Robin Ventura","- - -","2079","8271","294","1006","1182","24","13.0 %","14.3 %",".177",".281",".267",".362",".444",".351","113","-14.2","124.9","169.6","56.7","854"
"Joey Votto","Reds","1717","7372","284","1009","944","79","16.0 %","17.8 %",".213",".349",".307",".421",".519",".402","151","-31.0","417.1","-103.7","56.2","4314"
"Jeff Kent","- - -","2298","9537","377","1320","1518","94","8.4 %","16.0 %",".210",".311",".290",".356",".500",".367","123","-19.8","259.7","1.2","56.0","1119"
"Lance Berkman","- - -","1879","7814","366","1146","1234","86","15.4 %","16.6 %",".243",".315",".293",".406",".537",".400","144","-11.6","421.7","-110.0","55.9","548"
"Luis Gonzalez","- - -","2591","10531","354","1412","1439","128","11.0 %","11.6 %",".196",".291",".283",".367",".479",".364","118","-19.4","229.0","-13.8","55.2","55"
"Russell Martin","- - -","1693","6648","191","803","771","101","11.9 %","18.2 %",".148",".283",".248",".349",".397",".330","104","-21.5","13.6","306.6","55.2","4616"
"Todd Helton","Rockies","2247","9453","369","1401","1406","37","14.1 %","12.4 %",".223",".330",".316",".414",".539",".405","132","-35.3","354.3","-97.7","54.9","432"
"Brian Giles","- - -","1847","7836","287","1121","1078","109","15.1 %","10.7 %",".212",".294",".291",".400",".502",".388","136","17.9","384.8","-80.8","54.8","990"
"Vladimir Guerrero","- - -","2147","9059","449","1328","1496","181","8.1 %","10.9 %",".235",".316",".318",".379",".553",".390","136","-49.8","370.2","-115.0","54.5","778"
"Brian McCann","- - -","1755","6850","282","742","1018","25","9.3 %","15.4 %",".190",".273",".262",".337",".452",".340","110","-60.8","24.2","288.3","54.5","4810"
"Gary Carter","- - -","1740","6851","249","769","957","17","9.1 %","10.2 %",".178",".258",".262",".333",".441",".341","117","-8.2","120.1","177.6","54.2","1002015"
"Yadier Molina","Cardinals","1983","7655","156","701","916","66","6.6 %","10.2 %",".124",".296",".282",".333",".405",".321","99","-75.8","-87.0","366.7","54.0","7007"
"Buster Posey","Giants","1258","5153","140","595","673","23","9.4 %","12.3 %",".155",".322",".302",".370",".456",".356","128","-28.7","140.0","203.4","52.7","9166"
"Andre Dawson","- - -","2307","9450","394","1216","1447","264","5.5 %","13.5 %",".206",".288",".282",".325",".487",".352","119","16.2","217.8","-24.4","52.5","1003091"
"Joe Mauer","Twins","1858","7960","143","1018","923","52","11.8 %","13.0 %",".132",".341",".306",".388",".439",".358","123","-5.0","214.9","32.4","52.5","1857"
"David Wright","Mets","1585","6872","242","949","970","196","11.1 %","18.8 %",".195",".339",".296",".376",".491",".373","133","17.8","297.6","-1.0","52.0","3787"
"Will Clark","- - -","1976","8283","284","1186","1205","67","11.3 %","14.4 %",".193",".326",".303",".384",".497",".381","136","-8.1","347.7","-115.9","52.0","1002318"
"Evan Longoria","- - -","1689","7171","297","890","1015","57","8.8 %","20.0 %",".207",".297",".267",".335",".474",".345","119","3.7","163.7","90.9","51.1","9368"
"David Ortiz","- - -","2408","10091","541","1419","1768","17","13.1 %","17.3 %",".265",".300",".286",".380",".552",".392","140","-76.6","408.0","-247.7","51.0","745"
"Mike Cameron","- - -","1955","7884","278","1064","968","297","11.0 %","24.1 %",".195",".301",".249",".338",".444",".341","107","51.9","120.2","130.4","50.6","1070"
"Keith Hernandez","- - -","1561","6599","126","867","848","74","12.7 %","11.7 %",".139",".329",".303",".391",".441",".370","135","-5.2","257.8","9.2","49.9","1005706"
"Andrew McCutchen","- - -","1560","6773","233","942","819","187","12.2 %","18.3 %",".194",".325",".286",".378",".480",".370","135","16.4","293.6","-28.1","49.9","9847"
"Jason Giambi","- - -","2260","8908","440","1227","1441","20","15.3 %","17.6 %",".240",".294",".277",".399",".516",".394","140","-22.3","431.3","-223.6","49.8","818"
"Matt Holliday","- - -","1903","7981","316","1157","1220","108","10.0 %","17.1 %",".211",".331",".299",".379",".510",".383","135","-0.6","334.6","-101.0","49.7","1873"
"Jimmy Rollins","- - -","2275","10240","231","1421","936","470","7.9 %","12.3 %",".154",".283",".264",".324",".418",".323","95","82.7","26.2","137.0","49.4","971"
"Willie Randolph","- - -","1766","7672","46","993","562","184","13.5 %","6.9 %",".074",".294",".277",".377",".351",".336","110","7.9","102.5","116.1","48.4","1010694"
"Dwight Evans","- - -","1842","7785","296","1126","1059","48","14.2 %","15.7 %",".205",".298",".277",".382",".482",".383","134","-7.0","308.3","-101.2","48.3","1003865"
"Ian Kinsler","- - -","1888","8299","257","1243","909","243","8.4 %","12.6 %",".171",".282",".269",".337",".440",".338","107","48.4","117.8","64.6","47.7","6195"
"Moises Alou","- - -","1942","7913","332","1109","1287","106","9.3 %","11.3 %",".212",".306",".303",".369",".516",".378","129","-11.9","280.0","-51.5","47.7","261"
"Curtis Granderson","- - -","2057","8306","344","1217","937","153","11.1 %","23.1 %",".217",".290",".249",".337",".465",".347","115","45.9","194.8","-4.6","47.6","4747"
"Dustin Pedroia","Red Sox","1512","6777","140","922","725","138","9.2 %","9.7 %",".140",".314",".299",".365",".439",".352","115","-7.3","113.9","107.3","46.6","8370"
"Tony Phillips","- - -","2161","9110","160","1300","819","177","14.5 %","16.5 %",".123",".309",".266",".374",".389",".347","112","-13.1","125.0","32.7","46.6","1010300"
"J.D. Drew","- - -","1566","6153","242","944","795","87","14.0 %","18.5 %",".212",".311",".278",".384",".489",".378","127","18.4","235.9","25.2","46.0","1152"
