"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Roger Clemens","- - -","354","184","0","709","707","4916.2","8.55","2.89","0.66",".284","74.6 %","46.8 %","8.9 %","3.12","3.09","3.50","133.7","815"
"Greg Maddux","- - -","355","227","0","744","740","5008.1","6.06","1.80","0.63",".281","72.3 %","51.5 %","12.0 %","3.16","3.26","3.73","116.7","104"
"Randy Johnson","- - -","295","160","2","596","586","4039.1","10.67","3.27","0.87",".291","74.8 %","43.0 %","11.5 %","3.26","3.15","3.19","110.1","60"
"Pedro Martinez","- - -","219","100","3","476","409","2827.1","10.04","2.42","0.76",".279","75.9 %","38.8 %","8.9 %","2.93","2.91","3.44","84.4","200"
"Mike Mussina","- - -","270","153","0","537","536","3562.2","7.11","1.98","0.95",".292","72.7 %","43.2 %","10.1 %","3.68","3.57","3.68","81.2","837"
"Curt Schilling","- - -","216","146","22","569","436","3261.0","8.60","1.96","0.96",".293","74.6 %","39.6 %","10.5 %","3.46","3.23","3.17","79.8","73"
"John Smoltz","- - -","213","155","154","723","481","3473.0","7.99","2.62","0.75",".283","73.6 %","45.7 %","8.9 %","3.33","3.24","3.28","79.5","115"
"Kevin Brown","- - -","211","144","0","486","476","3256.0","6.63","2.49","0.57",".290","72.2 %","53.7 %","10.2 %","3.28","3.33","3.54","76.5","642"
"Justin Verlander","- - -","225","129","0","453","453","2982.0","9.07","2.57","0.93",".281","75.1 %","38.0 %","9.1 %","3.33","3.41","3.72","72.0","8700"
"Andy Pettitte","- - -","256","153","0","531","521","3316.0","6.64","2.80","0.78",".308","71.7 %","48.5 %","9.9 %","3.85","3.74","3.70","68.2","840"
"Tom Glavine","- - -","305","203","0","682","682","4413.1","5.32","3.06","0.73",".280","73.9 %","45.2 %","9.4 %","3.54","3.95","4.57","66.7","90"
"CC Sabathia","- - -","251","161","0","561","560","3577.1","7.78","2.76","0.96",".294","73.4 %","45.6 %","10.7 %","3.74","3.78","3.78","66.5","404"
"Roy Halladay","- - -","203","105","1","416","390","2749.1","6.93","1.94","0.77",".292","73.1 %","54.1 %","10.3 %","3.38","3.39","3.23","65.4","1303"
"Clayton Kershaw","Dodgers","169","74","0","347","344","2274.2","9.75","2.28","0.68",".270","79.4 %","46.4 %","9.0 %","2.44","2.74","2.98","64.5","2036"
"Zack Greinke","- - -","205","123","1","488","447","2872.0","8.22","2.09","0.92",".293","75.2 %","44.1 %","10.2 %","3.35","3.38","3.51","60.5","1943"
"Nolan Ryan","- - -","163","133","0","405","405","2693.2","9.44","3.86","0.58",".266","71.9 %","","","3.18","2.86","","58.8","1011348"
"Max Scherzer","- - -","170","89","0","365","356","2290.0","10.58","2.43","1.00",".289","76.7 %","37.5 %","10.3 %","3.20","3.13","3.28","58.8","3137"
"David Wells","- - -","239","157","13","660","489","3439.0","5.76","1.88","1.07",".293","70.7 %","45.3 %","10.1 %","4.13","3.99","4.12","58.3","855"
"Chuck Finley","- - -","200","173","0","524","467","3197.2","7.35","3.75","0.86",".297","73.1 %","49.8 %","8.3 %","3.84","3.91","3.51","56.9","384"
"Dwight Gooden","- - -","194","112","3","430","410","2800.2","7.37","3.07","0.67",".288","72.6 %","","","3.51","3.33","","56.7","1004852"
"David Cone","- - -","194","126","1","450","419","2898.2","8.28","3.53","0.80",".280","74.6 %","43.1 %","19.0 %","3.46","3.57","5.46","56.0","1680"
"Bret Saberhagen","- - -","167","117","1","399","371","2562.2","6.02","1.65","0.77",".281","72.7 %","","","3.34","3.27","","55.3","1011355"
"Jack Morris","- - -","250","180","0","514","514","3672.1","5.89","3.23","0.92",".269","71.6 %","","","3.89","3.93","","55.0","1009211"
"Felix Hernandez","Mariners","169","136","0","419","418","2729.2","8.32","2.65","0.87",".293","74.0 %","53.3 %","12.1 %","3.42","3.52","3.40","54.0","4772"
"Javier Vazquez","- - -","165","160","0","450","443","2840.0","8.04","2.42","1.18",".295","70.8 %","38.6 %","11.1 %","4.22","3.91","3.74","53.7","801"
"Roy Oswalt","- - -","163","102","0","365","341","2245.1","7.42","2.08","0.79",".301","75.4 %","47.1 %","9.1 %","3.36","3.37","3.56","52.6","571"
"Mark Buehrle","- - -","214","160","0","518","493","3283.1","5.13","2.01","0.99",".292","72.6 %","45.3 %","9.7 %","3.81","4.11","4.21","52.3","225"
"Cole Hamels","- - -","163","121","0","422","421","2694.2","8.54","2.56","1.04",".287","76.7 %","44.9 %","11.8 %","3.42","3.69","3.59","51.6","4972"
"Kevin Appier","- - -","169","137","0","414","402","2595.1","6.91","3.24","0.80",".284","72.9 %","34.8 %","9.8 %","3.74","3.81","5.06","50.8","3"
"Bartolo Colon","- - -","240","176","0","537","528","3315.1","6.66","2.51","1.10",".296","72.6 %","41.7 %","10.5 %","4.04","4.09","4.16","50.5","375"
"Mark Langston","- - -","179","158","0","457","428","2963.0","7.48","3.92","0.94",".285","72.3 %","","","3.97","3.93","","49.2","1007323"
"Tim Hudson","- - -","222","133","0","482","479","3126.2","5.99","2.64","0.71",".281","73.4 %","58.0 %","10.4 %","3.49","3.78","3.78","48.9","921"
"Cliff Lee","- - -","143","91","0","328","324","2156.2","7.61","1.94","0.93",".298","73.7 %","40.7 %","8.8 %","3.52","3.45","3.68","48.2","1636"
"Orel Hershiser","- - -","204","150","5","510","466","3130.1","5.79","2.90","0.68",".277","72.2 %","","","3.48","3.69","","48.0","1005741"
