Rank,Top 100,Trend,Name,Pos,Age,Ht,Wt,B,T,School,College Commit,FV,Risk,Report,Video,playerId
"1",,,"Kumar Rocker","RHP","21.5388888","6' 5""","250","R","R","Vanderbilt",,"50",,,"i9ljeJlzB5A",
"2",,,"Brady House","3B/RHP","18.0055555","6' 3""","200","R","R","Winder-Barrow HS GA","Tennessee","45",,,"LgJWO0o1GtM",
"3",,,"Jack Leiter","RHP","21.125","6' 1""","195","R","R","Vanderbilt",,"45",,"The toughest sign in this class, Leiter has a strong Vanderbilt commitment and may only be willing to sign with a few clubs. His command was inconsistent over the summer, but Leiter is a plus athlete with a good body, he has the best high school breaking ball in the class, a spin axis that is covetted among progressive clubs, and his fastball plays at the top of the strike zone. Though he's old for the class, Leiter is one of its best high school arms.",,
"4",,,"Luke Leto","SS","18.2805555","6' 2""","190","L","R","Portage Central HS MI","LSU","45",,,"YOmkDJnKVwU",
"5",,,"Braylon Bishop","CF","18.1194444","6' 1""","180","L","L","Texarkana HS AR","Arkansas","45",,,,
"6",,,"Robby Martin","RF","21.8027777","6' 3""","200","L","R","Florida State",,"40+",,,"oXfUgI4hPlE",
"7",,,"Alex Binelas","3B","21.0277777","6' 3""","210","L","R","Louisville",,"40+",,,,
"8",,,"Matt McLain","2B","21.8333333","5' 10""","175","R","R","UCLA",,"40+",,,"Ei8VE-JkAL8",
"9",,,"Judson Fabian","CF","20.6916666","6' 1""","180","R","L","Florida",,"40",,,,
"10",,,"Jordan Lawlar","SS","18.8861111","6' 1""","170","R","R","Jesuit Prep HS TX","Vanderbilt","40",,,,
"11",,,"Izaac Pacheco","3B","18.55","6' 4""","200","L","R","Friendswood HS TX","Texas A&M","40",,,"vymFfGwMcSo",
"12",,,"Christian Little","RHP","17.9194444","6' 2""","195","R","R","Christian Brothers HS MO","Vanderbilt","40",,,"vYp2Sf8a1pc",
"13",,,"Nick Bitsko","RHP","18.9722222","6' 3""","210","R","R","Central Bucks East HS PA","Virginia","40",,,"jTQS49gZv44",
"14",,,"Davis Sharpe","RHP","21.35","6' 4""","205","R","R","Clemson",,"40",,,"7OfdZKkW1TY",
"15",,,"Mike Vasil","RHP","21.2138888","6' 4""","201","L","R","Virginia",,"40",,,"m2OcV1yoX7M",
"16",,,"Jack Perkins","RHP","21.4444444","6' 1""","200","R","R","Louisville",,"40",,,,
"17",,,"Ben Specht","RHP","21.7305555","6' 1""","210","R","R","Florida",,"40",,,,
"18",,,"Sal Frelick","CF","21.1305555","5' 10""","175","L","R","Boston College",,"40",,,"IsWJYCo_Gl0",
"19",,,"Ian Moller","C","18.6111111","6' 1""","197","R","R","Wahlert HS IA","LSU","40",,,,
"20",,,"Gunnar Hoglund","RHP","21.4694444","6' 5""","210","L","R","Ole Miss",,"40",,,"hPsKzBvxiho",
"21",,,"Adrian Del Castillo","C","21.6916666","5' 11""","205","L","R","Miami",,"40",,,,
"22",,,"Cody Schrier","SS","18.2583333","6' 1""","175","R","R","JSerra Catholic HS CA","USC","40",,,,
"23",,,"Marcelo Mayer","2B","18.4833333","6' 3""","180","L","R","Eastlake HS CA","USC","40",,,,
"24",,,"Tyree Reed","CF","18.4083333","6' 2""","181","L","L","American Canyon HS CA","Oregon State","40",,,,
"25",,,"Kam Guangorena","C","21.6388888","6' 1""","190","L","R","Fullerton",,"40",,,"cax02SgXEzA",
"26",,,"Ty Madden","RHP","21.2916666","6' 3""","200","R","R","Texas",,"40",,,,
"27",,,"Michael Braswell","SS","18.7694444","6' 1""","175","R","R","Campbell HS GA","South Carolina","40",,,,
"28",,,"Max Marusak","CF","21.6083333","6' 0""","180","R","R","Texas Tech",,"40",,,"gZaUcvIE7ek",
"29",,,"Colton Cowser","RF","21.2111111","6' 3""","190","L","R","Sam Houston State",,"40",,,,
"30",,,"Ethan Wilson","LF","21.5805555","6' 2""","205","L","L","South Alabama",,"40",,,,
"31",,,"Hunter Goodman","C","21.6611111","6' 0""","205","R","R","Memphis",,"40",,,,
"32",,,"Hagen Smith","LHP","17.7972222","6' 4""","200","L","L","Bullard HS TX","Arkansas","40",,,,
"33",,,"Patrick Wicklander","LHP","21.4333333","5' 11""","175","R","L","Arkansas",,"40",,,,
"34",,,"Eric Cerantola","RHP","21.0944444","6' 5""","190","R","R","Mississippi State",,"40",,,,
"35",,,"Lonnie White Jr.","CF","18.4333333","6' 2""","195","R","R","Malvern Prep HS PA","Clemson","40",,,,
"36",,,"Mason Pelio","RHP","20.8916666","6' 4""","215","R","R","Boston College",,"40",,,"fooHCS5zSIY",
"37",,,"Lorenzo Carrier","CF/RHP","18.0444444","6' 4""","178","R","R","Appoquinimink HS DE","Miami","40",,,,
"38",,,"Colson Montgomery","SS","19.275","6' 4""","175","L","R","Southridge HS IN","None","40",,,,
"39",,,"Michael Morales","RHP","18.8138888","6' 2""","200","R","R","East Pennsboro Area HS PA","Vanderbilt","40",,,,
"40",,,"Alex Mooney","SS","18.9166666","6' 1""","170","R","R","St. Mary's Prep HS MI","Duke","40",,,,
"41",,,"Mason Black","RHP","21.4888888","6' 3""","210","R","R","Lehigh",,"40",,,,
"42",,,"Jaden Hill","RHP","21.4555555","6' 4""","215","R","R","LSU",,"40",,,,
"43",,,"Joe Mack","C","18.4416666","6' 0""","187","L","R","Williamsville East HS NY","Clemson","40",,,,
"44",,,"Eric Silva","RHP","18.675","6' 0""","180","R","R","Laguna Beach HS CA","UCLA","40",,,,
"45",,,"Garrett Burhenn","RHP","21.7333333","6' 4""","210","R","R","Ohio State",,"40",,,,
"46",,,"Jackson Baumeister","RHP/C","18.9055555","6' 3""","205","R","R","Bolles HS FL","Florida State","40",,,,
"47",,,"Deric Fabian","SS","18.8472222","6' 3""","175","R","R","Orangewood Christian HS FL","Florida","40",,,,
"48",,,"Christian Moore","SS/RHP","18.625","6' 1""","195","R","R","Baylor HS NY","Tennessee","35+",,,,
"49",,,"Josh Hartle","LHP","18.2","6' 5""","175","L","L","Reagan HS NC","Wake Forest","35+",,,,
"50",,,"Karl Hartman","RHP","18.5972222","6' 4""","205","R","R","Merritt Island HS FL","Florida","35+",,,,
