last,first,skls,age,organization,position,fg_id,pl,p365,bp,ba,pl_fypd,info,carded,19 WAR,20 WAR,notes,j2_year,rank,adp,interest,pl_fv,pl_lv,fg_fv,draft_year,card?,kl_mid,pl_mid,mlb_mid,fg_100_stash,ba_mid
Acosta,Maximo,,16,TEX,IF,,,,,*,25,med,,,,BA: Ahead of Puason now,2019,,,x,,,,,,,,,,
Acuna,Luisangel,,17,TEX,IF,sa3008765,,160,,*,,low,,,,"Ronald's baby brother, athletic and interesting",2018,,,x,,,,,,,,,,
Akiyama,Shogo,,31,CIN,OF,,,,,,22,med,,,2.0,"Good numbers in JPN, only q is OBP",,,,x,,,,,,,,,,
Alcantera,Kevin,,17,NYY,OF,sa3008752,,184,,,,low,,,,"Really big, really raw",2018,,,,,,,,,,,,,
Ashby,Aaron,,21,MIL,P,sa3007225,,,,,,low,,,,,,,,x,50,45,,,,,,,,
Balazovic,Jordan,61,20,MIN,P,sa918017,76,73,99,95,,high,,,,Stuff lags pitchability,,,,x,55,45,50.0,,,44,95,82,89,96
Bailey,Benyamin,,18,CHA,OF,,,,,,86,low,,,,,,,,,,,,,,,,,,
Baty,Brett,,19,NYM,IF,sa3010869,,148,81,*,24,high,,,,"Highly regarded 1st rounder, good bat / power, old for his class.",,,,x,,,,2019,,,99,85,75,
Baumann,Michael,,24,BAL,P,sa829681,,,,,,low,,,,"Added new pitch, big second half",,,,,50,45,,,,,,,,
Bowlan,Jonathan,,22,KCR,P,sa3006973,,,,,,low,,,,"Big body, college",,,,,50,40,,,,,,,,
Bracho,Aaron,,18,CLE,IF,sa3010018,,125,97,*,,med,,,,"Great contact hitting, enough glove to stay",2017,,,xx,60,50,,,,,,,,
Bubic,Kris,57,22,KCR,P,sa3008128,,181,*,,,med,,,,"Big body, college",,,,,55,50,,2018,,,,,,
Buelvas,Brayan,,17,OAK,OF,,,,,,,low,,,,Made full-season ball last year,2018,,,,,,,,,,,,,
