"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","EV","BsR","Off","Def","WAR","playerid"
"Mike Trout","Angels","1252","5514","302","944","798","201","15.2%","21.3%",".278",".346",".304",".418",".582",".418","172","91.3","60.6","531.3","17.5","76.0","10155"
"Buster Posey","Giants","1251","5136","140","594","673","23","9.4%","12.3%",".155",".322",".302",".371",".458",".357","129","89.2","-28.9","142.9","203.4","53.0","9166"
"Joey Votto","Reds","1465","6373","242","879","781","67","17.0%","17.7%",".210",".345",".303",".425",".513",".401","152","88.7","-33.1","360.9","-93.8","48.7","4314"
"Robinson Cano","- - -","1500","6410","247","851","908","34","7.6%","13.3%",".197",".316",".301",".359",".497",".364","132","90.8","-21.2","216.3","26.2","47.6","3269"
"Andrew McCutchen","- - -","1509","6521","231","900","799","169","12.1%","18.4%",".194",".323",".285",".377",".479",".369","135","89.8","10.2","274.8","-36.1","46.3","9847"
"Miguel Cabrera","Tigers","1417","6026","278","827","976","15","11.8%","16.4%",".224",".341",".315",".397",".539",".395","151","92.4","-53.0","300.7","-93.3","43.6","1744"
"Adrian Beltre","- - -","1252","5253","227","696","801","10","7.0%","12.3%",".208",".313",".307",".358",".514",".371","130","89.0","-9.0","172.3","59.4","42.8","639"
"Josh Donaldson","- - -","1066","4578","225","666","656","38","12.6%","19.9%",".236",".298",".272",".369",".508",".375","139","92.1","2.1","213.7","41.1","42.3","5038"
"Yadier Molina","Cardinals","1356","5353","125","524","669","53","6.3%","11.2%",".135",".303",".287",".335",".422",".328","106","87.3","-46.8","-8.6","243.1","42.2","7007"
"Paul Goldschmidt","- - -","1311","5621","249","837","828","128","13.7%","22.6%",".229",".349",".293",".392",".522",".387","141","91.0","26.5","303.2","-82.7","41.4","9218"
"Mookie Betts","- - -","849","3875","155","660","509","136","10.2%","13.0%",".221",".312",".301",".373",".522",".378","136","90.3","46.2","213.9","50.3","40.2","13611"
"Giancarlo Stanton","- - -","1185","4991","312","698","796","42","11.7%","28.1%",".278",".321",".268",".359",".546",".381","142","93.4","-4.5","246.4","-22.1","39.7","4949"
"Evan Longoria","- - -","1463","6201","244","749","845","41","8.5%","19.5%",".198",".293",".264",".330",".462",".338","116","89.2","-1.2","112.1","55.8","39.1","9368"
"Freddie Freeman","Braves","1406","5965","240","849","858","45","11.6%","20.2%",".214",".341",".295",".383",".509",".379","139","90.2","-2.6","279.6","-94.9","38.0","5361"
"Jonathan Lucroy","- - -","1203","4568","108","481","545","30","8.0%","14.4%",".143",".300",".274",".335",".416",".327","102","87.0","-26.8","-17.8","222.3","37.0","7870"
"Bryce Harper","- - -","1142","4883","232","749","668","98","15.0%","21.6%",".237",".315",".276",".387",".513",".380","138","91.0","9.8","236.3","-32.1","36.7","11579"
"Russell Martin","- - -","1123","4322","142","501","497","41","12.1%","20.9%",".158",".269",".233",".339",".391",".324","103","89.2","-19.3","-4.2","209.1","36.4","4616"
"Ben Zobrist","- - -","1354","5707","125","743","620","92","12.3%","14.1%",".152",".295",".267",".359",".419",".341","116","88.5","9.9","117.5","38.5","36.1","7435"
"Manny Machado","- - -","1142","4989","223","647","645","64","7.8%","16.7%",".208",".298",".280",".337",".488",".350","120","91.1","-9.2","108.3","72.5","35.8","11493"
"Anthony Rendon","- - -","968","4159","145","600","577","45","10.7%","15.4%",".200",".314",".290",".372",".490",".368","129","90.5","13.9","166.0","49.6","35.4","12861"
"Jose Bautista","- - -","1223","5206","285","781","764","56","15.6%","18.4%",".255",".256",".251",".373",".506",".378","139","90.6","-4.4","230.8","-71.2","35.3","1887"
"Jose Altuve","Astros","1291","5668","133","766","556","256","6.7%","11.7%",".147",".334",".311",".361",".458",".352","125","87.0","5.8","176.3","-21.0","35.2","5417"
"Nelson Cruz","- - -","1438","6027","362","807","994","50","8.9%","22.6%",".258",".312",".282",".352",".540",".377","139","93.5","-31.9","246.9","-113.6","34.8","2434"
"Ian Kinsler","- - -","1373","6036","174","879","636","152","8.1%","12.5%",".161",".280",".266",".332",".427",".331","105","86.1","27.3","61.9","68.5","34.8","6195"
"Christian Yelich","- - -","978","4290","151","626","522","128","11.5%","21.2%",".192",".354",".296",".381",".488",".372","135","92.2","31.4","218.6","-20.4","34.3","11477"
"Yasmani Grandal","- - -","925","3486","149","401","443","11","14.0%","23.8%",".204",".281",".240",".348",".445",".343","118","90.0","-33.8","41.1","180.9","34.3","11368"
"Brett Gardner","Yankees","1398","5728","126","830","500","231","10.6%","18.8%",".146",".305",".259",".344",".404",".329","106","87.5","62.5","100.5","38.3","34.2","9927"
"Brian McCann","- - -","1144","4478","191","479","629","13","9.8%","16.8%",".182",".256",".245",".327",".427",".327","105","88.5","-34.7","-9.9","186.0","33.4","4810"
"Jason Heyward","- - -","1427","5761","150","731","601","112","10.5%","17.4%",".152",".298",".261",".345",".414",".332","108","88.0","32.7","83.0","50.5","32.9","4940"
"Dustin Pedroia","Red Sox","1031","4658","98","598","513","91","9.6%","10.9%",".136",".315",".296",".363",".432",".348","115","87.4","-7.9","73.3","82.8","32.8","8370"
"Kyle Seager","Mariners","1321","5534","207","632","706","52","8.6%","17.3%",".187",".277",".256",".326",".443",".331","112","89.4","-5.8","74.3","51.2","32.3","9785"
"Nolan Arenado","Rockies","1079","4558","235","649","760","16","7.9%","15.0%",".248",".299",".293",".349",".541",".372","118","89.5","-3.0","99.7","72.0","32.2","9777"
"Justin Upton","- - -","1450","6073","264","856","820","124","10.2%","25.5%",".209",".319",".263",".344",".472",".352","121","90.0","24.7","174.5","-63.7","31.9","5222"
"Ryan Braun","Brewers","1344","5477","249","784","837","167","8.4%","18.3%",".226",".321",".292",".357",".518",".372","132","91.1","5.5","214.9","-81.0","31.8","3410"
"Anthony Rizzo","- - -","1265","5416","229","689","753","60","11.2%","15.8%",".215",".286",".271",".372",".485",".367","131","89.0","-23.3","177.9","-57.3","30.3","3473"
"Matt Carpenter","Cardinals","1199","4976","152","734","555","25","13.3%","20.0%",".191",".312",".266",".371",".457",".358","127","89.6","6.8","167.1","-35.8","30.2","8090"
"Lorenzo Cain","- - -","1050","4316","78","569","409","175","7.6%","17.8%",".125",".339",".288",".348",".413",".332","106","89.3","28.6","59.4","78.0","29.0","9077"
"Francisco Lindor","Indians","777","3510","138","508","411","99","8.1%","14.1%",".202",".298",".285",".346",".488",".351","118","89.9","1.5","75.8","87.3","28.9","12916"
"Edwin Encarnacion","- - -","1404","5945","345","838","975","41","11.9%","17.4%",".254",".260",".260",".353",".514",".369","133","89.8","-18.1","208.6","-135.6","28.7","2151"
"Kris Bryant","Cubs","740","3252","142","506","414","34","11.7%","23.8%",".228",".339",".280",".380",".508",".378","136","87.9","23.7","170.8","2.6","28.3","15429"
"Troy Tulowitzki","- - -","859","3576","160","494","537","26","9.3%","16.1%",".213",".312",".293",".363",".506",".373","125","89.2","-15.7","85.8","64.2","27.8","3531"
"Jose Ramirez","Indians","828","3392","127","496","437","127","9.8%","11.9%",".214",".287",".281",".354",".494",".359","123","88.5","34.5","130.3","26.5","27.7","13510"
"Curtis Granderson","- - -","1383","5410","242","782","638","86","12.0%","24.0%",".220",".271",".236",".334",".455",".341","115","88.5","21.9","117.5","-32.1","27.4","4747"
"Justin Turner","- - -","1102","3980","124","502","492","35","8.7%","14.6%",".178",".319",".293",".369",".471",".362","131","89.9","-2.8","147.0","-5.2","27.4","5235"
