"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","EV","ERA","FIP","xFIP","WAR","playerid"
"Clayton Kershaw","Dodgers","162","63","0","304","303","2054.1","9.82","1.94","0.71",".266","79.9%","47.1%","9.6%","86.9","2.31","2.66","2.86","60.4","2036"
"Max Scherzer","- - -","166","78","0","331","331","2131.0","10.74","2.35","1.01",".289","77.7%","36.9%","10.4%","87.1","3.14","3.08","3.24","56.8","3137"
"Justin Verlander","- - -","161","86","0","322","322","2148.0","9.50","2.38","0.96",".273","76.6%","37.3%","9.5%","87.7","3.10","3.27","3.57","53.7","8700"
"Chris Sale","- - -","109","73","12","312","232","1629.2","11.08","2.07","0.95",".293","77.4%","43.1%","11.9%","87.1","3.03","2.90","2.91","44.5","10603"
"Zack Greinke","- - -","158","73","0","323","323","2051.0","8.51","1.98","0.90",".288","75.3%","46.6%","11.0%","87.5","3.21","3.24","3.33","43.7","1943"
"David Price","- - -","140","73","0","293","287","1887.1","8.90","2.24","0.90",".292","75.4%","43.6%","10.1%","87.9","3.24","3.27","3.41","40.3","3184"
"Cole Hamels","- - -","115","88","0","307","306","1961.1","8.60","2.66","0.98",".287","77.2%","46.7%","11.8%","88.3","3.34","3.64","3.59","36.8","4972"
"Stephen Strasburg","Nationals","112","59","0","241","241","1443.2","10.58","2.36","0.90",".294","74.6%","46.0%","12.0%","88.1","3.19","2.97","2.96","36.7","10131"
"Jon Lester","- - -","151","95","0","332","332","2040.2","8.42","2.79","0.96",".298","74.3%","46.4%","11.4%","87.7","3.59","3.67","3.70","35.5","4930"
"Corey Kluber","- - -","98","58","0","209","204","1342.2","9.80","1.96","0.88",".298","74.7%","44.7%","11.2%","87.1","3.16","2.99","3.07","34.6","2429"
"Felix Hernandez","Mariners","111","95","0","281","280","1824.2","8.45","2.55","0.91",".288","73.8%","51.4%","12.3%","89.1","3.40","3.52","3.40","34.5","4772"
"Jacob deGrom","Mets","70","51","0","183","183","1169.2","10.46","2.19","0.78",".290","79.3%","45.1%","10.5%","87.0","2.61","2.75","3.00","34.1","10954"
"Gio Gonzalez","- - -","124","90","0","314","304","1800.1","8.58","3.67","0.74",".291","74.8%","47.2%","9.1%","87.6","3.51","3.57","3.84","31.8","7448"
"Madison Bumgarner","- - -","120","96","0","294","294","1877.2","8.69","2.10","0.97",".284","76.2%","42.8%","10.5%","88.8","3.21","3.40","3.58","30.8","5524"
"Gerrit Cole","- - -","101","55","0","204","204","1268.0","10.15","2.36","0.92",".300","76.0%","44.3%","11.7%","87.9","3.19","3.11","3.23","30.3","13125"
"Adam Wainwright","Cardinals","121","74","0","244","240","1525.1","7.78","2.35","0.75",".301","73.8%","48.1%","9.9%","87.3","3.47","3.35","3.55","28.8","2233"
"Anibal Sanchez","- - -","94","96","0","300","278","1666.1","8.20","2.78","1.06",".300","71.4%","42.6%","10.9%","87.5","4.08","3.83","3.94","28.6","3284"
"Jose Quintana","- - -","83","77","0","254","247","1495.0","7.89","2.54","0.93",".305","73.7%","44.2%","10.4%","88.7","3.73","3.64","3.87","28.5","11423"
"Rick Porcello","- - -","136","116","0","324","320","1925.2","6.88","2.04","1.11",".311","68.9%","46.6%","11.9%","88.5","4.44","4.00","4.02","27.9","2717"
"Cliff Lee","- - -","53","39","0","134","134","960.0","8.66","1.24","0.83",".300","75.7%","44.7%","9.3%","","2.95","2.80","2.90","26.9","1636"
"Johnny Cueto","- - -","108","65","0","247","247","1574.1","7.56","2.44","0.85",".277","77.1%","46.1%","10.0%","87.5","3.15","3.63","3.79","25.9","6893"
"CC Sabathia","Yankees","115","80","0","273","272","1688.0","8.01","2.71","1.14",".298","74.4%","47.1%","13.2%","85.9","3.87","3.99","3.78","25.8","404"
"Carlos Carrasco","Indians","88","69","2","237","190","1220.0","9.55","2.29","1.03",".306","74.2%","48.3%","13.3%","89.0","3.67","3.35","3.22","25.6","6632"
"Lance Lynn","- - -","104","71","1","260","236","1426.2","8.93","3.34","0.85",".302","75.5%","43.9%","9.8%","87.8","3.57","3.62","3.92","25.3","2520"
"Yu Darvish","- - -","71","56","0","182","182","1127.0","11.12","3.18","1.09",".288","76.8%","41.9%","13.6%","87.4","3.47","3.43","3.27","25.2","13074"
"Jake Arrieta","- - -","110","79","0","261","255","1513.2","8.03","3.13","0.93",".277","71.7%","48.9%","12.2%","87.2","3.76","3.85","3.81","24.3","4153"
"Jordan Zimmermann","- - -","92","86","0","261","259","1517.0","6.99","1.87","1.09",".300","71.7%","41.0%","10.6%","88.7","4.02","3.87","4.03","23.6","4505"
"Patrick Corbin","- - -","72","68","2","216","198","1213.1","8.86","2.66","1.05",".311","73.7%","48.7%","13.6%","89.3","3.84","3.65","3.56","21.6","9323"
"Kyle Hendricks","Cubs","69","48","0","175","174","1047.1","7.58","1.94","0.89",".278","76.4%","47.5%","11.1%","86.5","3.12","3.53","3.76","21.1","12049"
"Doug Fister","- - -","80","88","1","231","216","1361.1","6.17","2.10","0.85",".296","72.2%","48.9%","9.6%","87.5","3.70","3.81","3.96","20.5","9425"
"Dallas Keuchel","- - -","90","73","0","222","213","1365.1","7.11","2.63","0.88",".292","74.3%","58.6%","14.7%","87.0","3.59","3.77","3.54","20.2","9434"
"Chris Archer","- - -","60","80","0","212","210","1235.0","9.83","3.06","1.09",".301","72.6%","44.7%","13.1%","89.7","3.86","3.65","3.54","20.2","6345"
"Sonny Gray","- - -","75","63","0","197","188","1132.0","8.48","3.20","0.86",".280","72.8%","52.9%","12.2%","88.5","3.54","3.66","3.67","20.1","12768"
"Trevor Bauer","- - -","75","64","1","205","195","1190.0","9.67","3.43","1.07",".294","73.8%","41.6%","11.9%","88.8","3.90","3.85","3.96","19.9","12703"
"Aroldis Chapman","- - -","34","27","276","563","0","547.1","14.88","4.14","0.48",".282","79.9%","42.8%","8.1%","86.2","2.25","2.03","2.36","19.7","10233"
"J.A. Happ","- - -","110","87","0","280","270","1539.2","8.12","3.20","1.20",".288","73.8%","40.7%","11.7%","88.6","4.08","4.18","4.19","19.4","7410"
"Mat Latos","- - -","67","54","0","187","179","1102.2","7.93","2.69","0.89",".283","73.2%","43.7%","9.2%","88.4","3.59","3.56","3.74","19.4","3815"
"Jeff Samardzija","- - -","78","103","0","318","239","1583.0","7.98","2.62","1.13",".287","71.1%","42.7%","11.8%","88.3","4.11","3.96","4.00","19.4","3254"
"Kenley Jansen","Dodgers","33","22","312","632","0","636.0","13.25","2.38","0.83",".270","81.6%","33.7%","9.7%","85.3","2.39","2.29","2.59","19.3","3096"
"Aaron Nola","Phillies","58","40","0","139","139","842.2","9.85","2.76","0.98",".292","75.5%","50.5%","14.1%","87.5","3.47","3.43","3.37","19.2","16149"
"Charlie Morton","- - -","84","72","0","225","225","1267.2","8.28","3.10","0.75",".308","70.8%","53.7%","11.7%","87.4","3.93","3.68","3.70","19.1","4676"
"James Shields","- - -","102","103","0","289","287","1841.2","7.91","2.83","1.28",".292","74.6%","43.1%","13.3%","88.6","4.02","4.25","3.95","19.1","7059"
"Masahiro Tanaka","Yankees","78","46","0","174","173","1054.1","8.46","1.78","1.36",".283","74.5%","47.5%","16.1%","88.8","3.74","3.91","3.52","18.9","15764"
"Noah Syndergaard","Mets","47","30","0","119","118","716.0","9.74","2.09","0.79",".314","73.4%","49.1%","10.9%","86.6","3.31","2.92","3.17","18.8","11762"
"Ubaldo Jimenez","- - -","83","89","1","245","232","1363.2","8.44","4.09","1.00",".305","70.6%","45.2%","11.2%","88.5","4.53","4.14","4.11","18.5","3374"
"Mike Leake","- - -","105","98","0","301","296","1829.0","6.06","1.98","1.17",".296","72.5%","50.4%","14.1%","89.2","4.05","4.24","3.95","18.2","10130"
"R.A. Dickey","- - -","98","90","0","256","252","1631.0","6.65","2.68","1.08",".273","74.5%","45.5%","11.2%","87.1","3.66","4.20","4.18","17.9","1245"
"Jered Weaver","- - -","99","71","0","221","221","1395.2","6.93","2.28","1.19",".267","76.6%","33.3%","9.4%","87.6","3.58","4.11","4.34","17.9","4235"
"Francisco Liriano","- - -","88","92","0","342","242","1456.1","8.95","4.20","0.88",".298","71.3%","50.0%","11.9%","87.3","4.15","3.91","3.86","17.7","3201"
"James Paxton","- - -","57","33","0","136","136","753.1","9.90","2.75","0.97",".305","73.0%","44.7%","11.4%","89.4","3.58","3.31","3.53","17.4","11828"
"Bartolo Colon","- - -","94","85","0","237","227","1385.0","6.03","1.55","1.19",".301","71.7%","42.4%","10.9%","89.3","4.15","4.05","4.12","17.3","375"
"Craig Kimbrel","- - -","31","24","348","583","0","568.2","14.66","3.62","0.73",".263","83.8%","39.7%","11.1%","89.9","2.17","2.24","2.30","17.1","6655"
"Michael Pineda","- - -","53","46","0","148","148","852.2","8.99","2.03","1.20",".299","71.5%","42.6%","12.9%","88.6","4.02","3.63","3.53","17.1","5372"
"Hyun-Jin Ryu","- - -","59","35","1","138","137","807.1","8.22","2.02","0.87",".297","78.7%","48.6%","11.3%","86.9","2.95","3.30","3.41","17.0","14444"
"Hiroki Kuroda","- - -","62","62","0","160","160","1018.1","6.92","2.00","0.92",".283","74.4%","48.0%","10.5%","","3.36","3.62","3.56","17.0","3283"
