Class,Rank,Top 100,Trend,Name,Pos,Age,Ht,Wt,B,T,School,College Commit,FV,Risk,Report,Video,playerId
2021,"1",,,"Jack Leiter","SP","21.125","6' 1""","195","R","R","Vanderbilt",,"50","Med","Leiter's fastball has a flat approach angle that plays really well at the top of the strike zone, and he makes very advanced use of both his curveball and slider, which have distinct differences in shape and depth. His glove-side slider command is quite good, enough that it might enable the pitch to play a little better than its raw nastiness. We've seen some good changeups from him in the past but he barely threw the pitch during his freshman season. He has been consistently getting better since high school and was throwing harder in the Fall. Should that continue, I think he'll create some distance between himself and the other top prospects in the class.",,
2021,"2",,,"Kumar Rocker","SP","21.5388888","6' 5""","250","R","R","Vanderbilt",,"50","High","Rocker looked like a first rounder for much of his high school career, but his stuff dipped as the 2018 draft approached while his asking price did not, so teams backed away and Rocker went to college. After a rocky first few weeks of his Vanderbilt career, he became dominant down the stretch, culminating in a 19-strikeout no-hitter against Duke. He made just three starts as a sophomore before COVID-19 ended the season, two strong (vs UIC and UConn) and one not (UCLA). His roller coaster performance during the last couple of years is perhaps a bit of a blemish on an otherwise typical top-of-the-class power pitcher profile led by a mid-90s fastball and plus slider.","i9ljeJlzB5A",
2021,"3",,,"Matt McLain","SS","21.8333333","5' 10""","175","R","R","UCLA",,"50","Low","Perhaps the most polished high school hit tool in the 2018 draft, McLain opted not to sign with Arizona as a first round pick. He's an easy plus runner and plays hard, but had a tough freshman year at UCLA playing in the outfield due to the draft-eligible depth in the Bruins' infield (Toglia, Strumpf, Kreidler); he then bounced back on the Cape and during an abbreviated 2020. McLain knows how to lift the ball in games despite having fringe raw power and his hit/pop combo should be enough to profile at either middle infield position or in center. I consider him a better fit at second base long-term, but there's a pretty large contingent of scouts who think he's capable at shortstop, where he'll likely play all of 2021.","Ei8VE-JkAL8",
2021,"4",,,"Kahlil Watson","SS","18.1388888","5' 11""","168","L","R","Wake Forest HS",,"45+","High","Electricity personified, Watson has perhaps the best bat speed in the entire 2021 draft class regardless of demo (college or high school). He has an up-the-middle defensive projection and the potential for star-level power and speed output. Watson is also a volatile on-field entity, sometimes demonstrative with umpires and hard on himself when he's struggling. He's as high-ceiling a talent as there is in the whole class.",,
2021,"5",,,"Jordan Lawlar","SS","18.8861111","6' 1""","170","R","R","Jesuit Prep HS",,"45+","Med","Lawlar is a complete prospect. He has terrific defensive hands, feet, and actions, enough arm strength for the left side of the infield, and advanced feel to hit and barrel control. He's similar to Cubs 2020 first rounder Ed Howard in that Lawlar is well-rounded and plays a premium position but isn't especially toolsy, but Howard had more physical projection while Lawlar's swing has more natural leverage and loft. Lawlar's ability to impact balls at the top of the strike zone will be valuable in a pro environment that features velo at the letters.",,
2021,"6",,,"Jaden Hill","MIRP","21.4555555","6' 4""","215","R","R","LSU",,"45+","High","Hill was built like a quarterback in high school and had a fastball that sat 90-94 and an easy plus changeup, but he was unspeakably wild and ended up at LSU. He showed occasional feel to pitch as a Tiger freshman and looked to be turning the corner in the weekend rotation when he went down with a strained UCL. He didn't pitch in the Fall but was ready to go for his sophomore spring and was up to 97 in the preseason before being up to 99 during the early part of the shortened 2020 campaign. In addition to his changeup, Hill has two breaking balls (LSU calls them a slider and cutter, but they have more curve/modern slider sensibilities), the best of which is a slider/cutter in the 88-90 mph range. He looks like a late-inning power bullpen arm.",,
2021,"7",,,"Marcelo Mayer","SS","18.4833333","6' 3""","180","L","R","Eastlake HS",,"45+","High","Mayer wasn't at as many national events during the 2020 summer since, like most West Coast prospects, he was farthest away from the Southeast states with loose COVID restrictions where they were held. Working in Mayer's favor is that many decision-making team personnel have already seen him since he shared an infield with former Twins first round pick Keoni Cavaco, and at the time Cavaco was drafted, area scouts thought that Mayer was already the better prospect. Mayer is a graceful infield defender with a very projectable frame. His swing currently prioritizes contact. He has terrific vertical plate coverage and generates all-fields spray, but he's also shown an ability to turn on and punish pitches inside with power. His frame is nearly identical to Izaac Pachecho's, but Mayer has a better chance to stay at short and has more room to fill out, so he's slightly ahead of Pacheco here.",,
2021,"8",,,"Jud Fabian","CF","20.6916666","6' 1""","180","R","L","Florida",,"45+","Med","It's been somewhat trendy for a top prospect or two to skip the draft as a high school senior and early-enroll at their college to reach college eligibility a year sooner, and that's what Fabian did in 2018. He had a good freshman season for a rookie in the SEC then went to the Cape and raked, which continued during his COVID-shortened sophomore year. Fabian has a rare, unfavorable ""backwards"" profile -- he hits right and throws left, limiting him to 1B/OF -- but looks like he'll hit enough for that not to matter. While his lower half has gotten a little heavier and softer since high school, Fabian still has a fairly athletic swing, and his hitting hands work in an explosive loop that give him low-ball power. His hands load deep and high, and Fabian's bat path doesn't always look like it's going to work, but he still covers the zone from (nearly) top to bottom and can pull his hands in to get the barrel on inside pitches, and I think barrel accuracy is tougher to teach than augmenting someone's path. Fabian is a power/speed center field fit if the swing gets dialed in, similar to Travis Swaggerty a few years ago albeit with larger-conference performance.",,
2021,"9",,,"Brady House","3B","18.0055555","6' 3""","200","R","R","Winder-Barrow HS",,"45+","High","House has an ideal frame and is built like a shrunken-down version of Dwight Howard. Some scouts thought he should have reclassified to the 2020 Draft, where he'd have been a likely first rounder at age 17.0. He's deceptively quick as an underway runner and better than you'd think at shortstop given his size, but he should settle as a fringe runner who plays an average to above third base so long as he has the requisite throwing utility to make all the throws. He's up to 95 on the mound and has an easy plus arm, but the separator is easy plus raw power that will likely be a 70 at peak; there's some Alec Bohm or Kris Bryant look to it. The only real nitpicks are that he's a likely corner fit due to the projection and that there's a little stiffness and length to the swing that could mean possible trouble with velo on his hands, but he's basically only been scouted playing kids a year or two older than him and he has performed everywhere he has been.","LgJWO0o1GtM",
2021,"10",,,"Ty Madden","SP","21.2916666","6' 3""","200","R","R","Texas",,"45+","Med","Madden's velocity has been up and down the last few years. He was up to 98 in the Fall before his freshman year, then dipped into the high-80s during the spring of 2019 before he was shut down with a shoulder injury. He was back into the mid-90s during the early part of 2020 and touching the upper-90s during Texas' fall practices. It's unclear whether that velo will hold in long outings or throughout a whole season, something Madden has never proven nor had the opportunity to prove. His delivery is very upright and his arm slot very vertical, so he works with downhill angle similar to a treacherous ski slope. That's not necessarily a good thing, as flat approach angles seem to miss more bats. He has a four-pitch mix led by a projected plus slider.",,
