Name,Pos,Player Type,ETA,Age,Country,Agent/Trainer,Proj Team,Bonus,Ht,Wt,B,T,FV,Risk,Report,Video,playerId
"Ha-seong Kim","SS","KBO",2021,"25.3277777","South Korea",,"SDP",,"5' 9""","175","R","R","50","Med","Kim is an explosive, compact-bodied athlete with natural doubles power who frequently turns on pitches on the inner half and absolutely obliterates balls to his pull side. He took bigger hacks during the 2020 KBO season and hit more homers without impacting his contact rates, as he also had more walks than Ks. An everyday talent who'll be on the overall top 100 prospects list this offseason, it's impossible to say whether Kim will be able to make the leap from Korean to MLB pitching seamlessly, but his KBO numbers are more favorable than other recent successful players, he's younger, and his defensive ability gives him more margin for error in this regard.","PHWfaRLrd4U","sa3011918"
"Jung-hoo Lee","RF","KBO",2024,"22.4861111","South Korea",,,,"6' 1""","172","L","L","50","Med","Like Bo Bichette and Vladdy Guerrero, Lee has elite baseball lineage and seemed pre-ordained for stardom in Korea. His father, Jong-beom Lee, was a superstar five-tool pro ballplayer who stole as many as 84 bases in a single (124-game!) season and had several 20-plus homer years as well (go look at his 1997 line). Jung-hoo is more precocious than the elder Lee and is the first player in KBO history to go straight from high school to the top level of play. 
Since arriving in the league at age 19, Lee has hit for elite rates of contact and in his age-21 season began to hit for power (his early-career pop may have been masked by injury/recovery from shoulder surgery). He's had more walks than strikeouts the last two years while playing excellent right field defense. He also wields one of the sweetest-looking swings on the planet. His frame may limit his power ceiling, but his bat-to-ball skills are very promising and because his pro career began so early, Lee is on track to hit MLB free agency at age 24.","vJX_yikLwQw","kr3012640"
"Rodrick Arias","SS","Int'l Amateur",2022,"16.4333333","Dominican Republic",,"NYY",,"5' 11""","175","S","R","45+","High","Arias presents scouts with an excellent foundation of baseball feel and instincts that are likely to grow into impact tools as he continues to grow into his frame.",,
"Felnin Celestin","SS","Int'l Amateur",2022,"15.4166666","Dominican Republic",,"SEA",,"6' 0""","160","S","R","45+","High","A well-rounded switch hitter with some pop, Celestin is very likely to stay at shortstop long-term. ",,
"Carlos Colmenarez","SS","Int'l Amateur",2021,"17.25","Venezuela","Ponchipu","TBR",,"6' 1""","175","L","R","45+","High","A sweet-swinging, lefty-hitting shortstop with a good frame, Colmenarez has been among the best players in the 2020 International Amateur class for quite a while now, at times claiming the top spot. His swing has natural lift out in front of the plate and he has shown feel to hit in games. Based on looks at him in workouts, he is likely to stay at short, where he has plus hands and actions, and average range and arm strength. He is a caliber of prospect commensurate with a mid-first round pick.","PYWpq-V0Jmg",
"Roki Sasaki","RHP","NPB",2026,"19.2833333","Japan",,,,"6' 3""","203","R","R","45+","High","Sasaki has a monster arm and frame, and he's a plus athlete. He's been clocked at 101 and usually sits 97 and up. His secondaries are raw but he'll occasionally show an above-average split and average breaking ball. There was a stretch in high school when Sasaki was asked to throw nearly 500 pitches in an eight-day span, including all of a 12-inning complete game in which he also hit the game-winning two-run homer. He was the first pick in the 2019 NPB draft but the risk associated with teenage pitching is universal. He's in the same FV tier as Mick Abel.",,
"Yoshinobu Yamamoto","RHP","NPB",2024,"22.4944444","Japan",,,,"5' 10""","176","R","R","45+","Med","Yamamoto's stuff is similar to that of draft-eligible college pitchers who go in the 8-15 pick range most years. He sits about 93 and has a plus curveball and splitter, as well as a bevy of other lesser pitches.",,
"Wilman Diaz","SS","Int'l Amateur",2021,"17.25","Venezuela","Alexi Quiroz","LAD",,"6' 0""","165","R","R","45","Med","His frame isn't as angular and projectable as the other top-of-the class infielders but Diaz is the best pure hitter among them. While there's not overt power projection on the frame, you can project more future in-game power from Diaz because he's an explosive rotational athlete whose backswing threatens to clip the mask of the catcher behind him. He's arguably a bit safer than some of the other top amateur shortstops in our international rankings because of how he's hit in games.",,
"Brandon Mayea","CF","Int'l Amateur",2023,"15.425","Cuba",,"NYY",,"5' 11""","170","R","R","45","High","Mayea is a twitchy center fielder with precocious pull power. He doesn't need to sell out for the pop and has little visible swing-and-miss risk.",,
"Pedro Pineda","RF","Int'l Amateur",2021,"17.4416666","Dominican Republic","Nube","OAK",,"6' 1""","175","R","R","45","High","Pineda has the most obvious power projection in the 2020 amateur class. He's built like a wide receiver but is actually fairly short to the ball for someone with such long levers. I had multiple sources tell me he had a positive PED test around a year ago, but now there's dissent among baseball people as to whether or not that's true, and scouts and agents who have sought out an answer have gotten mixed responses. (As an aside, none of the other prospect publications have reported it.) Regardless, it hasn't had an effect on where Pineda is ranked. He's a prototypical right field power prospect.",,
