TM,Location,HITTERS,AB,SO vlhp,BB v lhp,HIT v lhp,OB v lhp,TB v lhp,HR v lhp,BP v lhp,CL v lhp,DP v lhp,SO v rhp,BB v rhp,HIT v rhp,OB v rhp,TB v rhp,HR v rhp,BP v rhp,CL v rhp,DP v rhp,STEALING,STL,SPD,B,H,INJ,CA,1B,2B,3B,SS,LF,CF,RF,FIELDING
ARN,,"Ahmed,N",552,16,6,24.9,31.9,38.6,1.8,3,+3,9,20,8,19.4,28.4,26.6,0.5,0,+3,9,*5/- (19-6),B,15,D,D,1,,,,,120,,,,ss-1e20
ARN,,"Calhoun,K*",539,29,13,15.8,32.8,31.5,4.5,8,-6,17,25,17,12.6,33.7,32.8,5.2,8,-1,18,7/11 (13-5),D,12,D,C,1,,,,,,,,203,rf-2(-3)e3
ARN,,"Cron,K",50,26,0,1.8,9.8,7,1.8,3*,0,0,49,11,3,22,11.8,3,4*,0,0,-/- (---),E,9,D,D,1,,424,,,,,,,1b-4e24
ARN,,"Escobar,E+",566,9,1,20.2,23.2,29.6,1.8,3,-7,20,21,3,16.3,21.3,33.2,2.8,4,-6,19,2/- (20-6),D,12,D,C,1,,,405,328,,,,,3b-3e28 2b-4e5
ARN,,"Jay,J*",142,16,7,12.9,23.9,12.9,0,w,-10,0,20,2,18.5,24.5,27.3,1.8,w,-10,0,-/- (---),E,13,B,C,1,,,,,,304,304,304,cf-3(+1)e4 rf-3e4 lf-3e4
ARN,,"Kelly,C",324,24,10,9.8,21.8,21.8,2.8,4,+10,23,19,10,15.8,27.8,24.7,1.8,3,+10,23,-/- (---),E,10,D,C,2,305,,,,,,,,"c-3(0)e5,T-7(pb-3)"
ARN,,"Locastro,T",200,24,10,13.4,34.3,21.8,1.5,w,+3,0,2,8,30.6,49.5,41.6,2,w,+3,0,*7/- (20-12),A,17,D,C,1,,,,,,209,309,209,cf-3(+2)e9 lf-2e9 rf-2e9
ARN,,"Marte,K+",496,0,0,43,46,70.3,2.7,4,+13,6,6,6,20.9,29.9,28.4,0.4,0,+12,5,6/- (15-6),C,15,D,B,2,,,204,,388,,302,,2b-2e4 cf-3(-1)e2 ss-3e88
ARN,,"Mathisen,W",79,45,8,22.6,35.6,33.8,3.8,6,-8,0,36,23,3,31,11.4,2.8,6*,0,0,-/- (---),E,10,D,D,1,,,,447,,,,,3b-4e47
ARN,,"Peralta,D*",561,25,5,21.4,28.4,23.2,0.6,1,+12,15,18,5,29.5,36.5,41.8,1,2,+12,15,2/- (20-6),D,13,D,C,1,,,,,,302,,,lf-3(-2)e2
