TM,Location,PITCHERS,IP,SO vlhp,BB vlhp,HIT v lhp,OB v lhp,TB v lhp,HR v lhp,BP v lhp,DP vlhp,SO v rhp,BB v rhp,HIT v rhp,OB v rhp,TB v rhp,HR v rhp,BP v rhp,DP v rhp,HO,ENDURANCE,FIELD,BK,WP,BAT-B,STL,SPD
ARN,,"Bergen,T*",24,21,36,4.3,40.3,12.1,1.8,3*,9,36,24,15.1,39,28.3,0,0*,2,-1,R(2) C(0),4-51,0,0,1WL-C,E,10
ARN,,"Bumgarner,M*",116,32,0,18,18,34.7,2,3,4,11,5,19.5,24.6,48.3,6.8,8,4,4,S(5),4-51,0,0,1WR-A,E,12
ARN,,"Clarke,T",121,14,19,11.3,30.3,22.7,1.6,2*,12,25,5,17.5,22.5,34.8,3.4,7,12,-3,S(4) R(4),2- 0,0,0,1WR-D,E,10
ARN,,"Crichton,S",73,21,3,15.9,18.9,23.6,0.2,0,12,27,2,18.5,20.5,31,0.6,0,12,9,R(1) C(4),3- 0,0,17,1WR-C,E,10
ARN,,"Gallen,Z",202,31,8,11.6,19.6,19.9,1.4,3,13,37,11,10.3,21.3,18,2.4,4,7,3,S(6*),4- 0,0,13,1WR-A,E,10
ARN,,"Ginkel,K",45,35,16,13.4,29.5,29.2,2.4,5,0,22,17,22.4,39.4,35.7,2.8,6,0,9,R(1) C(1),2- 0,0,20,1WL-C,E,10
ARN,,"Guerra,J",67,18,25,9.3,34.3,19.7,1.8,3,11,24,5,13.7,18.7,21.6,0.2,0,11,-1,R(1),5-51,0,18,1WR-C,E,10
ARN,,"Kelly,M",87,18,2,15.1,17,25,1.4,2,12,25,1,18.4,19.4,35,3.2,5,10,4,S(6),3- 0,0,0,1WR-D,E,12
ARN,,"Lopez,Y",55,10,6,23.8,29.8,54.5,6.3,8,12,22,11,13.9,24.9,32,1.6,3,12,0,R(1),4- 0,18,0,1WR-C,E,10
ARN,,"Mella,K",28,14,2,20.8,22.8,39.3,2.2,3,12,28,6,22.2,28.2,34.5,2,4,8,5,R(1),3- 0,0,20,1WR-C,E,10
ARN,,"Rondon,H",56,32,10,17,27.1,36.6,3.8,7,0,17,9,23.7,32.7,50.5,3.6,7,0,5,R(1) C(0),2- 0,0,20,1WR-C,E,10
ARN,,"Smith,C*",39,37,6,3.5,9.5,13.7,3.4,6*,0,25,25,3.8,28.8,15.2,3.8,7*,0,9,S(4) R(3),2- 0,0,0,1WR-C,E,14
ARN,,"Smith,R",52,34,2,14.4,16.4,25.9,3.6,7,11,17,11,22.4,33.4,29.6,1.2,2,12,-1,R(4),3- 0,0,0,1WR-C,E,10
ARN,,"Weaver,L",145,23,10,21.9,31.9,38.4,4,7,0,28,5,18.5,23.5,35.7,1.4,3,0,-3,S(4),2- 0,0,0,1WR-D,E,14
ARN,,"Widener,T",56,30,11,13.8,24.8,33.4,3.6,6,4,34,16,6.5,22.5,16.9,1.6,3*,3,0,R(3),3- 0,0,0,1WL-C,E,10
