player,med,avg,law,plive,ftrax,espn,fg,ba,mlb,bp
Wander Franco,1.0,1.3,1,2,2,1,1,1,1,1
Jarred Kelenic,4.0,3.5,4,1,1,3,5,4,4,6
Adley Rutschman,2.5,5.1,6,9,15,2,3,2,2,2
CJ Abrams,7.0,7.5,8,6,6,5,6,11,8,10
Spencer Torkelson,5.0,7.6,18,4,5,4,9,5,3,13
MacKenzie Gore,9.0,8.6,2,17,8,13,2,10,6,11
Julio Rodriguez,4.0,8.8,24,3,3,9,20,3,5,3
Marco Luciano,9.5,11.8,31,5,4,7,11,12,16,8
Andrew Vaughn,12.0,12.3,10,8,9,8,14,21,14,14
Dylan Carlson,13.0,12.6,9,7,13,18,16,9,13,16
Bobby Witt Jr.,15.5,14.6,27,15,7,17,19,16,7,9
Ke'Bryan Hayes,9.5,14.6,13,10,50,6,7,15,9,7
Sixto Sanchez,13.5,14.9,25,12,18,11,28,6,15,4
Ian Anderson,14.0,15.5,15,19,34,12,13,8,18,5
Nate Pearson,14.0,15.6,5,21,16,14,10,14,10,35
Cristian Pache,14.0,19.9,3,39,56,16,8,7,12,18
Randy Arozarena,21.0,22.3,45,22,26,10,4,17,34,20
Austin Martin,20.5,24.3,14,16,19,38,44,19,22,22
Luis Patino,22.0,24.3,16,42,36,21,12,23,19,25
Riley Greene,24.0,24.9,34,13,24,25,38,,21,19
Alex Kirilloff,20.0,25.5,7,18,25,22,17,18,26,71
Royce Lewis,24.5,26.3,46,26,23,15,23,29,17,31
Corbin Carroll,25.0,27.1,23,11,12,27,21,42,47,34
Casey Mize,28.0,29.3,11,49,38,20,32,28,,27
Matt Manning,24.0,33.0,21,79,22,23,18,30,25,46
Brandon Marsh,37.0,34.9,36,37,37,19,15,38,53,44
Grayson Rodriguez,30.0,35.5,55,44,46,30,30,22,27,30
Asa Lacy,33.5,36.6,30,61,40,49,25,37,30,21
Jordan Groshans,38.0,38.5,,35,28,47,,34,46,41
Max Meyer,41.5,38.9,40,31,43,48,26,44,28,51
Michael Kopech,38.0,39.0,53,52,49,24,34,24,39,37
Logan Gilbert,39.0,39.8,47,40,45,43,37,35,33,38
Kristian Robinson,40.0,39.9,37,14,11,51,43,93,55,15
Jasson Dominguez,36.5,40.3,66,27,14,40,51,33,32,59
Vidal Brujan,42.5,42.6,35,51,32,26,24,56,50,67
Nolan Gorman,45.0,43.4,57,32,53,50,40,54,38,23
JJ Bleday,39.0,43.5,89,25,48,55,35,43,20,33
Drew Waters,40.0,43.7,,28,54,34,47,32,71,40
Tarik Skubal,38.0,44.0,22,60,52,53,22,20,24,99
Nick Madrigal,40.0,44.1,,56,80,42,39,40,40,12
Noelvi Marte,51.0,46.3,,33,10,,69,73,,
Trevor Larnach,37.0,46.4,,23,27,37,36,39,80,83
Joey Bart,41.0,46.6,41,91,61,32,55,41,23,29
Spencer Howard,43.0,47.8,62,68,41,44,33,27,42,65
Jeter Downs,49.0,49.1,56,43,31,41,53,71,49,
Nick Gonzalez,43.0,50.0,,30,35,66,86,51,43,39
Zac Veen,47.5,50.8,43,41,17,46,70,86,54,49
Brennen Davis,56.0,51.3,51,24,20,63,41,72,61,78
Triston Casas,49.5,51.3,87,20,21,52,54,47,44,85
Nolan Jones,49.0,52.0,86,46,66,33,52,45,36,52
Jazz Chisholm,58.0,53.0,26,58,60,31,48,77,66,58
Emerson Hancock,55.5,54.3,54,78,39,68,57,57,31,50
Triston McKenzie,54.5,56.5,12,47,126,59,58,26,51,73
Edward Cabrera,54.0,56.9,20,73,88,54,50,,68,45
Alek Thomas,54.0,56.9,61,34,29,64,45,94,81,47
Daniel Lynch,63.5,57.1,17,105,84,65,62,25,29,70
Luis Campusano,41.5,58.6,38,108,125,29,27,36,45,61
Ronny Mauricio,63.0,59.8,32,69,100,61,42,65,67,42
Oneil Cruz,59.0,61.8,,54,70,28,105,50,64,
Forrest Whitley,69.0,62.0,29,76,33,,106,80,41,69
George Valera,64.0,62.8,76,65,69,56,63,,,48
Heliot Ramos,61.5,63.4,58,50,79,62,61,83,82,32
Josiah Gray,56.5,63.6,39,100,124,36,29,68,58,55
Austin Hendrick,53.0,64.8,,53,44,,44,97,86,
Hunter Bishop,65.0,65.8,,55,50,,,,83,75
Francisco Alvarez,65.0,67.8,19,112,118,82,31,48,48,84
Ha-Seong Kim,78.0,67.8,,29,82,86,64,78,,
Josh Jung,60.0,68.0,,45,94,60,109,49,63,56
Robert Hassell,63.0,68.4,60,101,59,45,71,85,62,64
George Kirby,68.0,68.4,,59,47,,76,,92,68
Erick Pena,67.0,68.7,,67,42,,,,,97
DL Hall,64.5,68.8,49,48,91,97,83,59,70,53
Ryan Mountcastle,73.0,70.0,,62,73,93,94,63,77,28
Josh Lowe,70.0,70.4,59,75,92,70,56,,,
Heston Kjerstad,69.0,70.4,85,36,72,,103,62,69,66
Garrett Mitchell,74.0,71.0,95,74,30,,,91,65,
Hunter Greene,71.0,71.3,28,120,81,67,101,31,71,
Garrett Crochet,73.0,72.1,,80,117,69,73,74,56,36
Deivi Garcia,70.0,72.9,81,70,156,71,60,55,,17
Luis Matos,75.0,73.0,,57,75,,87,,,
Clarke Schmidt,75.0,74.9,48,82,71,,75,64,88,96
Hedbert Perez,75.5,75.5,,84,67,,,,,
Geraldo Perdomo,77.0,77.0,91,64,110,39,68,75,79,90
Leody Taveras,63.0,77.0,44,63,131,,121,,,26
Gunnar Henderson,77.0,77.0,,77,,,,,,
Robert Puason,77.5,77.5,,93,62,,,,,
Cristian Hernandez,78.0,78.0,,88,68,,,,,
Luis Garcia,78.0,78.0,67,89,,,,,,
Simeon Woods Richardson,79.0,78.3,,66,86,90,72,69,87,
