player,med,avg,mlb,law,espn,fg,ba,plive,p365,cbs
Kumar Rocker,1.5,2.0,1,3,3,2,1,1,1,4
Jordan Lawlar,2.0,2.3,2,2,1,5,2,2,2,2
Jack Leiter,2.5,2.9,6,1,2,1,5,3,4,1
Marcelo Mayer,6.0,5.9,7,6,6,7,4,7,5,5
Jud Fabian,8.0,7.1,8,,13,8,11,4,3,3
Matt McLain,5.5,7.5,3,19,5,3,8,5,6,11
Adrian Del Castillo,7.0,8.1,4,5,9,17,3,8,13,6
Jaden Hill,6.0,8.1,5,4,4,6,6,14,17,9
Brady House,8.5,9.6,12,8,7,9,13,6,7,15
Kahlil Watson,12.0,12.3,15,10,10,4,14,18,20,7
Andrew Painter,14.0,14.6,11,,22,19,10,16,14,10
Alex Binelas,11.5,15.3,9,29,24,18,9,10,10,13
Ty Madden,13.0,17.6,10,12,14,10,12,35,34,14
Henry Davis,17.0,18.4,26,20,35,11,19,13,15,8
Ethan Wilson,20.0,19.1,23,28,19,24,18,12,8,21
Sal Frelick,19.5,19.6,25,27,21,12,17,20,19,16
Colton Cowser,16.5,20.0,13,17,36,33,16,17,16,12
James Wood,14.5,20.3,14,11,16,71,7,15,11,17
Harry Ford,22.0,21.3,19,22,12,23,24,26,22,22
Jordan Wicks,23.5,22.8,16,13,18,21,27,29,32,26
Jackson Jobe,23.5,23.3,24,18,17,29,30,21,24,23
Benny Montgomery,25.0,23.6,21,25,,22,26,28,25,18
Richard Fitts,18.0,23.8,17,15,11,31,15,42,40,19
Jac Caglianone,25.0,25.0,,,25,,,,,
Chase Petty,24.5,25.2,22,26,,,25,23,31,24
Gunnar Hoglund,26.5,25.3,30,7,8,34,23,37,43,20
Christian Franklin,27.0,26.0,46,,,,36,9,12,27
Joshua Baez,27.0,26.6,39,23,,20,20,27,29,28
Nathan Hickey,27.0,27.0,,,27,,,,,
Ryan Cusick,31.0,28.3,33,9,44,58,33,11,9,29
Evan Shawver,31.0,31.0,,,,,,32,30,
JP Massey,33.0,33.0,,,,,,30,36,
Chase Burns,33.5,33.3,28,,,,29,38,38,
Jonathan Cannon,35.5,33.8,27,,38,40,42,33,23,
Izaac Pacheco,21.0,35.1,20,,15,15,21,64,71,40
Eric Cerantola,35.5,35.8,50,30,32,52,39,22,21,40
Levi Usher,29.5,36.3,78,,,28,31,19,18,44
Tommy Mace,35.5,36.5,36,16,41,62,38,31,33,35
Cody Morissette,36.5,36.8,43,,,16,28,53,51,30
Sam Bachman,31.0,37.4,29,14,33,77,54,24,27,41
Steven Hajjar,39.0,37.8,45,,,45,34,41,37,25
Braden Montgomery,40.0,38.6,44,21,28,36,40,48,53,
Josh Hartle,33.0,38.8,34,,,30,32,52,54,31
Noah Smith,39.0,39.0,,,,39,,,,
Anthony Solometo,40.0,40.0,35,24,,,60,40,41,
Joe Mack,43.0,40.1,18,,30,44,22,58,66,43
Mason Black,40.5,41.0,53,,,61,44,25,26,37
Troy Melton,41.0,41.0,,,31,51,,,,
Malakhi Knight,45.0,42.0,38,,,32,46,45,46,45
Tyler Whitaker,42.0,42.0,,,42,,,,,
Hunter Goodman,43.0,42.9,61,,20,54,35,43,39,48
Alex Mooney,41.0,45.2,49,,,47,72,34,35,34
Christian MacLeod,42.0,45.5,40,,43,41,49,39,61,
Ian Moller,48.0,46.3,75,,,14,37,60,59,33
Max Ferguson,45.0,49.4,42,,23,13,45,93,83,47
Carter Holton,49.5,49.5,,,,,,55,44,
Tyree Reed,49.0,49.8,73,,34,27,48,50,67,
Gage Jump,42.0,50.0,72,,,48,84,36,28,32
Kevin Abel,44.5,50.5,,,,42,71,47,42,
Edwin Arroyo,52.5,50.7,52,,37,,53,59,57,46
Brock Selvidge,55.0,50.7,57,,40,,55,,,
Thatcher Hurd,44.5,51.0,76,,26,25,90,44,45,
Ryan Webb,52.0,52.0,,,,,,54,50,
