rank,player,position,organization,age,prospect_rank
1,Juan Soto,OF,WSN,23,
2,Ronald Acuña Jr.,OF,ATL,24,
3,Fernando Tatis Jr.,SS/OF,SDP,23,
4,Vladimir Guerrero Jr.,1B,TOR,23,
5,Bo Bichette,SS,TOR,24,
6,Trea Turner,2B/SS,LAD,29,
7,Jose Ramirez,3B,CLE,29,
8,Shohei Ohtani,DH/SP,LAA,27,
9,Gerrit Cole,SP,NYY,31,
10,Wander Franco,SS,TBR,21,
11,Kyle Tucker,OF,HOU,25,
12,Mookie Betts,OF,LAD,29,
13,Rafael Devers,3B,BOS,25,
14,Mike Trout,OF,LAA,30,
15,Bryce Harper,OF,PHI,29,
16,Corbin Burnes,SP,MIL,27,
17,Ozzie Albies,2B,ATL,25,
18,Luis Robert,OF,CHW,24,
19,Walker Buehler,SP,LAD,27,
20,Freddie Freeman,1B,ATL,32,
21,Jacob deGrom,SP,NYM,34,
22,Yordan Alvarez,OF,HOU,25,
23,Bobby Witt Jr.,SS,KCR,22,1
24,Manny Machado,3B,SDP,29,
25,Shane Bieber,SP,CLE,27,
26,Julio Rodriguez,OF,SEA,21,2
27,Brandon Woodruff,SP,MIL,29,
28,Zack Wheeler,SP,PHI,32,
29,Lucas Giolito,SP,CHW,27,
30,Aaron Nola,SP,PHI,29,
31,Julio Urias,SP,LAD,25,
32,Sandy Alcantara,SP,MIA,26,
33,Riley Greene,OF,DET,21,3
34,Aaron Judge,OF,NYY,30,
35,Xander Bogaerts,SS,BOS,29,
36,Tim Anderson,SS,CHW,29,
37,Cedric Mullins,OF,BAL,27,
38,Marcus Semien,2B/SS,TOR,31,
39,Eloy Jimenez,OF,CHW,25,
40,Spencer Torkelson,1B,DET,22,4
41,Freddy Peralta,SP,MIL,26,
42,Carlos Correa,SS,FA,27,
43,Matt Olson,1B,OAK,28,
44,Francisco Lindor,SS,NYM,28,
45,Corey Seager,SS,LAD,28,
46,Austin Riley,3B,ATL,25,
47,Trevor Story,SS,FA,29,
48,Alex Bregman,3B,HOU,28,
49,Jonathan India,2B,CIN,25,
50,Robbie Ray,SP,TOR,30,
51,Max Scherzer,SP,NYM,37,
52,Bryan Reynolds,OF,PIT,27,
53,Adley Rutschman,C,BAL,24,5
54,Kevin Gausman,SP,SFG,31,
55,Pete Alonso,1B,NYM,27,
56,Jesse Winker,OF,CIN,28,
57,Dylan Cease,SP,CHW,26,
58,Cody Bellinger,OF,LAD,26,
59,Will Smith,C,LAD,27,
60,Teoscar Hernandez,OF,TOR,29,
61,Tyler O'Neill,OF,STL,27,
62,Trevor Rogers,SP,MIA,24,
63,Byron Buxton,OF,MIN,28,
64,Luis Castillo,SP,CIN,29,
65,Jose Berrios,SP,TOR,28,
66,Brandon Lowe,2B,TBR,27,
67,Paul Goldschmidt,1B,STL,34,
68,Shane Baz,SP,TBR,23,6
69,Jose Altuve,2B,HOU,32,
70,Joe Musgrove,SP,SDP,29,
71,J.T. Realmuto,C,PHI,31,
72,Ketel Marte,2B/OF,ARI,28,
73,Frankie Montas,SP,OAK,29,
74,Nolan Arenado,3B,STL,31,
75,Logan Webb,SP,SFG,25,
76,Max Fried,SP,ATL,28,
77,Randy Arozarena,OF,TBR,27,
78,Shane McClanahan,SP,TBR,25,
79,Alek Manoah,SP,TOR,24,
80,Jose Abreu,1B,CHW,35,
81,Salvador Perez,C,KCR,32,
82,Liam Hendriks,RP,CHW,33,
83,Kris Bryant,3B/OF,FA,30,
84,Nick Castellanos,OF,CIN,30,
85,Whit Merrifield,2B/OF,KCR,33,
86,Christian Yelich,OF,MIL,30,
87,Austin Meadows,OF,TBR,27,
88,Dylan Carlson,OF,STL,23,
89,Pablo Lopez,SP,MIA,26,
90,Starling Marte,OF,OAK,33,
91,Jack Flaherty,SP,STL,26,
92,George Springer,OF,TOR,32,
93,Chris Sale,SP,BOS,33,
94,Josh Hader,RP,MIL,28,
95,Adalberto Mondesi,3B,KCR,26,
96,Oneil Cruz,SS,PIT,23,7
97,Jazz Chisholm,2B/SS,MIA,24,
98,Jorge Polanco,2B/SS,MIN,28,
99,Willy Adames,SS,MIL,26,
100,Mitch Haniger,OF,SEA,31,
101,CJ Abrams,SS,SDP,21,8
102,Alex Kirilloff,1B/OF,MIN,24,
103,Anthony Volpe,SS,NYY,21,9
104,Jarred Kelenic,OF,SEA,22,
105,Joey Gallo,OF,NYY,28,
106,Daulton Varsho,C/OF,ARI,25,
107,Charlie Morton,SP,ATL,38,
108,Emmanuel Clase,RP,CLE,24,
109,Blake Snell,SP,SDP,29,
110,Franmil Reyes,DH,CLE,26,
111,Eduardo Rodriguez,SP,BOS,29,
112,Nick Yorke,2B,BOS,20,10
113,Jake Cronenworth,2B/SS/1B,SDP,28,
114,Kyle Schwarber,OF,FA,29,
115,Trent Grisham,OF,SDP,25,
116,Javier Baez,2B/SS,DET,29,
117,Gleyber Torres,SS,NYY,25,
118,Luis Urias,3B/SS/2B,MIL,25,
119,Andrew Vaughn,OF,CHW,24,
120,Giancarlo Stanton,OF,NYY,32,
121,Anthony Rendon,3B,LAA,32,
122,Brennen Davis,OF,CHC,22,11
123,Grayson Rodriguez,SP,BAL,22,12
124,Jo Adell,OF,LAA,23,
125,Edwin Diaz,RP,NYM,28,
126,Corbin Carroll,OF,ARI,21,13
127,Gabriel Moreno,C,TOR,22,14
128,Alex Verdugo,OF,BOS,26,
129,Tommy Edman,2B/OF,STL,27,
130,Ryan Mountcastle,1B/OF,BAL,25,
131,Tyler Mahle,SP,CIN,27,
132,Nathan Eovaldi,SP,BOS,32,
133,Yu Darvish,SP,SDP,35,
134,Lance Lynn,SP,CHW,35,
135,Yoan Moncada,3B,CHW,27,
136,Dansby Swanson,SS,ATL,28,
137,Justin Verlander,SP,HOU,39,
138,Sean Manaea,SP,OAK,30,
139,Lance McCullers Jr.,SP,HOU,28,
140,Zac Gallen,SP,ARI,26,
141,Framber Valdez,SP,HOU,28,
142,Triston Casas,1B,BOS,22,15
143,Ryan McMahon,2B/3B,COL,27,
144,Marcelo Mayer,SS,BOS,19,16
145,Tyler Glasnow,SP,TBR,28,
146,Luis Garcia,SP,HOU,25,
147,Max Muncy,1B/2B,LAD,31,
148,Lourdes Gurriel Jr.,OF,TOR,28,
149,Seiya Suzuki,OF,FA,27,17
150,Marco Luciano,SS,SFG,20,18
151,Noelvi Marte,SS,SEA,20,19
152,Ian Anderson,SP,ATL,24,
153,Tarik Skubal,SP,DET,25,
154,Francisco Alvarez,C,NYM,20,20
155,Tyler Soderstrom,C,OAK,20,21
156,Rhys Hoskins,1B,PHI,29,
157,Jared Walsh,1B,LAA,28,
158,J.D. Martinez,OF,BOS,34,
159,Amed Rosario,SS,CLE,26,
160,Marcus Stroman,SP,NYM,31,
161,Chris Bassitt,SP,OAK,33,
162,Carlos Rodon,SP,CHW,29,
163,German Marquez,SP,COL,27,
164,Michael Conforto,OF,NYM,29,
165,Chris Taylor,2B/SS/OF,LAD,31,
166,George Kirby,SP,SEA,24,22
167,Raisel Iglesias,RP,LAA,32,
168,Ty France,1B/2B,SEA,27,
169,Jorge Soler,OF,FA,30,
170,Zac Veen,OF,COL,20,23
171,Alek Thomas,OF,ARI,22,24
172,George Valera,OF,CLE,21,25
173,Matt Chapman,3B,OAK,29,
174,Luis Matos,OF,SFG,20,26
175,Clayton Kershaw,SP,LAD,34,
176,Jordan Montgomery,SP,NYY,29,
177,Austin Martin,OF/SS,TOR,23,27
178,Jordan Walker,3B,STL,20,28
179,Dylan Crews,OF,Open,20,29
180,Robert Hassell III,OF,SDP,20,30
181,Brooks Lee,SS,Open,21,31
182,Termarr Johnson,SS,Open,18,32
183,Hyun Jin Ryu,SP,TOR,35,
184,Josh Jung,3B,TEX,24,33
185,Sonny Gray,SP,CIN,32,
186,Michael Kopech,SP,CHW,26,
187,Logan Gilbert,SP,SEA,25,
188,Brayan Rocchio,SS,CLE,21,34
189,Tanner Houck,SP,BOS,26,
190,Dustin May,SP,LAD,24,
191,Keibert Ruiz,C,LAD,23,35
192,Luis Severino,SP,NYY,28,
193,Gavin Lux,2B/SS,LAD,24,
194,Willson Contreras,C,CHC,30,
195,Jack Leiter,SP,TEX,22,36
196,Ke'Bryan Hayes,3B,PIT,25,
197,Elly de la Cruz,SS,CIN,20,37
198,Aroldis Chapman,RP,NYY,34,
199,Josh Bell,1B,WSN,29,
200,Jeremy Pena,SS,HOU,24,38
201,Ryan Pressly,RP,HOU,33,
