pick,round,player,team,position
1,1,Julio Rodriguez,SEA,CF
2,1,Bobby Witt Jr.,KC,SS
3,1,Spencer Torkelson,DET,3B
4,1,Riley Greene,DET,CF
5,1,Brennen Davis,CHC,CF
6,1,CJ Abrams,SD,SS
7,1,Noelvi Marte,SEA,SS
8,1,Adley Rutschman,BAL,C
9,1,Triston Casas,BOS,3B
10,1,Marco Luciano,SF,SS
11,1,Anthony Volpe,NYY,SS
12,1,Corbin Carroll,ARI,CF
13,1,Robert Hassell,SD,CF
14,1,Shane Baz,TB,SP
15,1,Josh Jung,TEX,3B
1,2,Nolan Gorman,STL,3B
2,2,Josh Lowe,TB,CF
3,2,Marcelo Mayer,BOS,SS
4,2,Tyler Soderstrom,OAK,C
5,2,Brayan Rocchio,CLE,SS
6,2,Vidal Brujan,TB,2B
7,2,Zac Veen,COL,OF
8,2,Luis Matos,SF,CF
9,2,George Kirby,SEA,SP
10,2,Alek Thomas,ARI,CF
11,2,Jordan Walker,STL,3B
12,2,Oneil Cruz,PIT,SS
13,2,Grayson Rodriguez,BAL,SP
14,2,Francisco Alvarez,NYM,C
15,2,Nick Gonzales,PIT,SS
1,3,Cade Cavalli,WSH,SP
2,3,Max Meyer,MIA,SP
3,3,Jack Leiter,TEX,SP
4,3,Nick Yorke,BOS,2B
5,3,Aaron Ashby,MIL,SP
6,3,George Valera,CLE,CF
7,3,Hedbert Perez,MIL,LF
8,3,Nick Pratto,KC,1B
9,3,Gabriel Moreno,TOR,C
10,3,Jasson Dominguez,NYY,CF
11,3,Kahlil Watson,MIA,SS
12,3,Coby Mayo,BAL,3B
13,3,Hunter Greene,CIN,SP
14,3,Jordan Lawlar,ARI,SS
15,3,Austin Martin,MIN,CF
1,4,Jhonkensy Noel,CLE,3B
2,4,Miguel Vargas,LAD,3B
3,4,Joey Bart,SF,C
4,4,Michael Harris,ATL,CF
5,4,Dustin Harris,TEX,3B
6,4,Orelvis Martinez,TOR,SS
7,4,Emerson Hancock,SEA,SP
8,4,Eury Perez,MIA,RP
9,4,Brett Baty,NYM,3B
10,4,Oswald Peraza,NYY,SS
11,4,Cristian Hernandez,CHC,SS
12,4,Gunnar Henderson,BAL,SS
13,4,Henry Davis,PIT,C
14,4,Seiya Suzuki,(N/A),RF
15,4,Jose Miranda,MIN,2B
1,5,Nick Lodolo,CIN,SP
2,5,Daniel Espino,CLE,SP
3,5,Sixto Sanchez,MIA,SP
4,5,Brady House,WSH,SS
5,5,Pedro Leon,HOU,CF
6,5,Royce Lewis,MIN,SS
7,5,Reginald Preciado,CHC,SS
8,5,MJ Melendez,KC,C
9,5,Bobby Miller,LAD,SP
10,5,Reid Detmers,LAA,SP
11,5,Bryson Stott,PHI,SS
12,5,Colton Cowser,BAL,CF
13,5,Austin Wells,NYY,C
14,5,Sal Frelick,MIL,CF
15,5,Vinnie Pasquantino,KC,1B
1,6,Juan Yepez,STL,1B
2,6,Joe Ryan,MIN,SP
3,6,Justin Foscue,TEX,2B
4,6,Elly De La Cruz,CIN,2B
5,6,Matt McLain,CIN,SS
6,6,Roansy Contreras,PIT,SP
7,6,Joey Wiemer,MIL,OF
8,6,Garrett Mitchell,MIL,CF
9,6,Michael Busch,LAD,2B
10,6,Liover Peguero,PIT,SS
11,6,Pete Crow-Armstrong,CHC,CF
12,6,Curtis Mead,TB,2B
13,6,Everson Pereira,NYY,CF
14,6,Andy Pages,LAD,CF
15,6,Tyler Freeman,CLE,SS
1,7,JJ Bleday,MIA,RF
2,7,Jordan Groshans,TOR,3B
3,7,Jarren Duran,BOS,LF
4,7,Mark Vientos,NYM,3B
5,7,Taj Bradley,TB,SP
6,7,Harry Ford,SEA,C
7,7,Mick Abel,PHI,P
8,7,Peyton Battenfield,CLE,SP
9,7,Quinn Priester,PIT,SP
10,7,Edward Cabrera,MIA,SP
11,7,Eddys Leonard,LAD,SS
12,7,Owen Caissie,CHC,CF
13,7,Kyle Harrison,SF,SP
14,7,Evan Carter,TEX,OF
15,7,Benny Montgomery,COL,CF
1,8,Steven Kwan,CLE,LF
2,8,Jose Salas,MIA,SS
3,8,Cole Winn,TEX,SP
4,8,Colson Montgomery,CHW,SS
5,8,Blaze Jordan,BOS,1B
6,8,Jeremy Pena,HOU,SS
7,8,Jairo Pomares,SF,RF
8,8,Kevin Alcantara,CHC,RF
9,8,Blake Walston,ARI,SP
10,8,Greg Jones,TB,SS
11,8,Ronny Mauricio,NYM,SS
12,8,DL Hall,BAL,SP
13,8,Trey Sweeney,NYY,SS
14,8,Jay Allen,CIN,CF
15,8,Jackson Jobe,DET,SP
1,9,Deyvison De Los Santos,ARI,3B
2,9,Heliot Ramos,SF,CF
3,9,Wilman Diaz,LAD,SS
4,9,James Triantos,CHC,SS
5,9,Luis Gil,NYY,SP
6,9,Hunter Brown,HOU,SP
7,9,Heriberto Hernandez,TB,C
8,9,Logan Allen,CLE,P
9,9,Kyle Muller,ATL,SP
10,9,MacKenzie Gore,SD,SP
11,9,Vaughn Grissom,ATL,SS
12,9,Jose Ramos,LAD,CF
13,9,Victor Acosta,SD,SS
14,9,Heston Kjerstad,BAL,RF
15,9,Drey Jameson,ARI,SP
1,10,Kyren Paris,LAA,SS
2,10,Matt Allan,NYM,SP
3,10,Kyle Stowers,BAL,LF
4,10,Gavin Williams,CLE,RP
5,10,Jorbit Vivas,LAD,2B
6,10,Aeverson Arteaga,SF,SS
7,10,Jeter Downs,BOS,SS
8,10,Ian Seymour,TB,P
9,10,Ryan Pepiot,LAD,SP
10,10,Drew Waters,ATL,CF
11,10,Diego Cartaya,LAD,C
12,10,Aaron Zavala,TEX,RF
13,10,Matt Brash,SEA,RP
