rank,name,url,id,pos
1,Bobby Witt Jr.,https://www.baseballamerica.com/players/102335/bobby-witt-jr/,102335,SS
2,C.J. Abrams,https://www.baseballamerica.com/players/102336/cj-abrams/,102336,SS
3,Riley Greene,https://www.baseballamerica.com/players/99536/riley-greene/,99536,OF
4,Brennan Malone,https://www.baseballamerica.com/players/102337/brennan-malone/,102337,RHP
5,Daniel Espino,https://www.baseballamerica.com/players/102338/daniel-espino/,102338,RHP
6,Rece Hinds,https://www.baseballamerica.com/players/99903/rece-hinds/,99903,3B
7,Corbin Carroll,https://www.baseballamerica.com/players/102339/corbin-carroll/,102339,OF
8,Jerrion Ealy,https://www.baseballamerica.com/players/102340/jerrion-ealy/,102340,OF
9,Matthew Thompson,https://www.baseballamerica.com/players/102341/matthew-thompson/,102341,RHP
10,Brett Baty,https://www.baseballamerica.com/players/102342/brett-baty/,102342,3B/1B
11,Tyler Callihan,https://www.baseballamerica.com/players/98912/tyler-callihan/,98912,3B
12,Matthew Allan,https://www.baseballamerica.com/players/102348/matthew-allan/,102348,RHP
13,Maurice Hampton,https://www.baseballamerica.com/players/102343/maurice-hampton/,102343,OF
14,Spencer Jones,https://www.baseballamerica.com/players/102344/spencer-jones/,102344,1B/LHP
15,Hunter Barco,https://www.baseballamerica.com/players/98687/hunter-barco/,98687,LHP
16,Hayden Mullins,https://www.baseballamerica.com/players/102345/hayden-mullins/,102345,LHP
17,Kendall Williams,https://www.baseballamerica.com/players/102346/kendall-williams/,102346,RHP
18,Jack Leiter,https://www.baseballamerica.com/players/102347/jack-leiter/,102347,RHP
19,J.J. Goss,https://www.baseballamerica.com/players/102349/jj-goss/,102349,RHP
20,Hylan Hall,https://www.baseballamerica.com/players/102350/hylan-hall/,102350,OF
21,Brooks Lee,https://www.baseballamerica.com/players/102368/brooks-lee/,102368,SS
22,Nasim Nunez,https://www.baseballamerica.com/players/102351/nasim-nunez/,102351,SS
23,Gunnar Henderson,https://www.baseballamerica.com/players/102352/gunnar-henderson/,102352,SS
24,Will Rigney,https://www.baseballamerica.com/players/102353/will-rigney/,102353,RHP
25,Quinn Priester,https://www.baseballamerica.com/players/102354/quinn-priester/,102354,RHP
26,Glenallen Hill Jr.,https://www.baseballamerica.com/players/102355/glenallen-hill-jr/,102355,SS/OF
27,Jack Kochanowicz,https://www.baseballamerica.com/players/102362/jack-kochanowicz/,102362,RHP
28,Landon Sims,https://www.baseballamerica.com/players/102357/landon-sims/,102357,RHP
29,Sanson Faltine III,https://www.baseballamerica.com/players/99170/sanson-faltine-iii/,99170,INF/OF/RHP
30,Carter Young,https://www.baseballamerica.com/players/102361/carter-young/,102361,SS
31,Michael Limoncelli,https://www.baseballamerica.com/players/102306/michael-limoncelli/,102306,RHP
32,Myles Austin,https://www.baseballamerica.com/players/102358/myles-austin/,102358,SS
33,Joseph Charles,https://www.baseballamerica.com/players/102359/joseph-charles/,102359,RHP
34,Riley Cornelio,https://www.baseballamerica.com/players/102360/riley-cornelio/,102360,RHP
35,Emanuel Dean,https://www.baseballamerica.com/players/99056/emanuel-dean/,99056,OF
36,Mack Anglin,https://www.baseballamerica.com/players/102356/mack-anglin/,102356,RHP
37,Anthony Volpe,https://www.baseballamerica.com/players/102363/anthony-volpe/,102363,SS
38,Sammy Siani,https://www.baseballamerica.com/players/102364/sammy-siani/,102364,OF
39,Jimmy Lewis,https://www.baseballamerica.com/players/102307/jimmy-lewis/,102307,RHP
40,Jonathan French,https://www.baseballamerica.com/players/102365/jonathan-french/,102365,C
41,Bryce Osmond,https://www.baseballamerica.com/players/102366/bryce-osmond/,102366,RHP/SS
42,Cade Doughty,https://www.baseballamerica.com/players/102367/cade-doughty/,102367,INF/OF
43,Christian Cairo,https://www.baseballamerica.com/players/102369/christian-cairo/,102369,SS
44,Ethan Hearn,https://www.baseballamerica.com/players/102370/ethan-hearn/,102370,C
45,Kyren Paris,https://www.baseballamerica.com/players/102371/kyren-paris/,102371,SS
46,Chris Newell,https://www.baseballamerica.com/players/102372/chris-newell/,102372,OF
47,Jason Hodges,https://www.baseballamerica.com/players/102374/jason-hodges/,102374,OF/1B
48,Antoine Harris,https://www.baseballamerica.com/players/102375/antoine-harris/,102375,RHP
49,Seth Tomczcak,https://www.baseballamerica.com/players/102308/seth-tomczcak/,102308,RHP
50,Alex McFarlane,https://www.baseballamerica.com/players/102378/alex-mcfarlane/,102378,RHP
