"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid","mlbamid"
"Albert Pujols","- - -","3080","13041","703","1914","2218","117","10.5%","10.8%",".248",".284",".296",".374",".544",".385","","141","-50.0","623.1","-164.7","88.8","1177","405395"
"Alex Rodriguez","- - -","2142","9364","548","1528","1623","211","12.0%","19.1%",".259",".309",".291",".385",".550",".397","","144","26.0","535.7","33.5","88.2","1274","121347"
"Mike Trout","LAA","1489","6521","368","1106","940","206","14.8%","22.4%",".281",".346",".301",".412",".582",".416","","170","63.7","603.0","0.4","85.1","10155","545361"
"Adrian Beltre","- - -","2704","11302","455","1422","1618","100","6.8%","14.1%",".197",".301",".288",".340",".484",".352","","117","-11.7","210.4","199.5","80.2","639","134181"
"Miguel Cabrera","- - -","2797","11796","511","1551","1881","40","10.7%","17.8%",".212",".340",".306",".382",".518",".382","","139","-87.8","459.2","-199.5","67.8","1744","408234"
"Carlos Beltran","- - -","2416","10245","413","1458","1472","282","10.1%","16.2%",".211",".297",".278",".352",".489",".359","","120","65.1","315.7","-17.2","63.3","589","136860"
"Barry Bonds","SFG","986","4072","317","772","697","54","27.7%","10.5%",".402",".283",".322",".517",".724",".490","","203","-5.5","537.4","-37.7","61.9","1109","111188"
"Chase Utley","- - -","1937","7863","259","1103","1025","154","9.2%","15.2%",".190",".297",".275",".358",".465",".356","","118","76.2","256.6","104.2","61.6","1679","400284"
"Mookie Betts","- - -","1265","5757","252","996","756","172","10.7%","13.9%",".232",".305",".294",".373",".527",".381","","140","52.8","331.8","47.8","58.5","13611","605141"
"Freddie Freeman","- - -","1885","8098","321","1217","1143","89","11.5%","19.0%",".213",".344",".301",".388",".514",".383","","142","11.1","426.7","-113.8","58.3","5361","518692"
"Joey Votto","CIN","2056","8746","356","1171","1144","80","15.6%","18.8%",".217",".335",".294",".409",".511",".394","","145","-36.9","436.0","-150.4","58.3","4314","458015"
"Robinson Cano","- - -","2267","9550","335","1262","1306","51","6.5%","12.7%",".187",".316",".301",".351",".488",".358","","124","-36.7","236.9","5.7","58.1","3269","429664"
"Ichiro Suzuki","- - -","2653","10734","117","1420","780","509","6.0%","10.1%",".091",".338",".311",".355",".402",".328","","104","96.0","157.5","58.6","57.7","1101","400085"
"Buster Posey","SFG","1371","5607","158","663","729","23","9.6%","12.9%",".158",".324",".302",".372",".460",".358","","129","-31.7","159.6","216.8","57.6","9166","457763"
"Paul Goldschmidt","- - -","1774","7638","340","1134","1122","158","13.1%","22.3%",".227",".347",".293",".388",".519",".385","","142","34.4","419.0","-109.3","57.4","9218","502671"
"Chipper Jones","ATL","1720","7228","315","1077","1099","67","14.6%","13.1%",".225",".314",".304",".404",".529",".397","","142","-11.7","376.7","-30.7","57.2","97","116706"
"Lance Berkman","- - -","1845","7708","362","1136","1219","81","15.4%","16.6%",".245",".316",".294",".407",".539",".402","","145","-12.2","423.3","-111.0","55.6","548","204020"
"Yadier Molina","STL","2226","8554","176","777","1022","71","6.3%","10.8%",".122",".293",".277",".327",".399",".316","","97","-88.8","-129.9","393.3","55.6","7007","425877"
"Russell Martin","- - -","1693","6648","191","803","771","101","11.9%","18.2%",".148",".283",".248",".349",".397",".330","","104","-21.5","12.8","305.2","54.9","4616","431145"
"Evan Longoria","- - -","1986","8206","342","1017","1159","58","8.9%","20.7%",".207",".296",".264",".333",".471",".343","","117","-4.8","163.7","93.4","54.8","9368","446334"
