team,last,first,name,C,1B,2B,3B,SS,LF,CF,RF
SDP,Ellis,A.J.,A.J. Ellis,3,,,,,5,,
ARI,Pollock,A.J.,A.J. Pollock,,,,,,,1,
HOU,Reed,A.J.,A.J. Reed,,4,,,,,,
PHI,Altherr,Aaron,Aaron Altherr,,,,,,2,2,2
NYY,Hicks,Aaron,Aaron Hicks,,,,,,,2,
NYY,Judge,Aaron,Aaron Judge,,,,,,,3,2
SFG,Avelino,Abiatal,Abiatal Avelino,,,4,,4,,,
KCR,Almonte,Abraham,Abraham Almonte,,,,,,,3,3
KCR,Mondesi,Adalberto,Adalberto Mondesi,,,2,,2,,,
ATL,Duvall,Adam,Adam Duvall,,4,,5,,2,,
WAS,Eaton,Adam,Adam Eaton,,,,,,3,,3
CHA,Engel,Adam,Adam Engel,,,,,,,1,
PIT,Frazier,Adam,Adam Frazier,,,4,,,3,4,3
BAL,Jones,Adam,Adam Jones,,,,,,3,4(B3),3
TBY,Moore,Adam,Adam Moore,3,,,,,,,
CLE,Rosales,Adam,Adam Rosales,,3,3,3,3,,,
CHC,Russell,Addison,Addison Russell,,,,,1(B2),,,
NYY,Hechavarria,Adeiny,Adeiny Hechavarria,,,,2,2,,,
PIT,Hechavarria,Adeiny,Adeiny Hechavarria,,,,,2,,,
STL,Garcia,Adolis,Adolis Garcia,,,,,,,4,3
TEX,Beltre,Adrian,Adrian Beltre,,,,2,,,,
NYM,Gonzalez,Adrian,Adrian Gonzalez,,3,,,,,,
WAS,Sanchez,Adrian,Adrian Sanchez,,,3,3,,,,
CHC,Almora Jr,Albert,Albert Almora,,,,,,1,1,
LAA,Pujols,Albert,Albert Pujols,,4,,,,,,
KCR,Escobar,Alcides,Alcides Escobar,,,3,2,3,,4,
TOR,Diaz,Aledmys,Aledmys Diaz,,,,3,4(B3),,,
SFG,Hanson,Alen,Alen Hanson,,,4,4,4,4,,4
ARI,Avila,Alex,Alex Avila,4,5,,,,,,
CIN,Blandino,Alex,Alex Blandino,,4,3,3,4,4,,
HOU,Bregman,Alex,Alex Bregman,,,3,1(B2),3,4,,
