LG,TM,FIRST,LAST,USE,B/P,C,1B,2B,3B,SS,LF,CF,RF,,,,,,,,,,,,
AL,BO,Hanser,Alberto,REG,B,   ,,4(B3),4,,,,,,,,,,,,,,,,
AL,BO,Chris,Davis,ADD,B,,3,,,,,,,,,,,,,,,,,,
AL,BO,Austin,Hays,REG,B,,,,,,3,3,3,,,,,,,,,,,,
AL,BO,Dilson,Herrera,COMP,B,,4,,,,,4,,,,,,,,,,,,,
AL,BO,Bryan,Holaday,ADD,B,3,4,,,,,,,,,,,,,,,,,,
AL,BO,Jose,Iglesias,REG,B,,,,,3,,,,,,,,,,,,,,,
AL,BO,Ryan,Mountcastle,REG,B,,4,,,,4,,,,,,,,,,,,,,
AL,BO,Cedric,Mullins,REG,B,,,,,,2,2(B1),2,,,,,,,,,,,,
AL,BO,Renato,Nunez,REG,B,,5,,5,,,,,,,,,,,,,,,,
AL,BO,Rio,Ruiz,REG,B,,,5,3,,4,,,,,,,,,,,,,,
AL,BO,Anthony,Santander,REG,B,,,,,,2(B3),,2(B3),,,,,,,,,,,,
AL,BO,Pedro,Severino,REG,B,4,,,,,,,,,,,,,,,,,,,
AL,BO,Chance,Sisco,REG,B,4,,,,,,,,,,,,,,,,,,,
AL,BO,Dwight,Smith Jr,REG,B,,,,,,4,,,,,,,,,,,,,,
AL,BO,DJ,Stewart,REG,B,,,,,,4,,4,,,,,,,,,,,,
AL,BO,Ramon,Urias,ADD,B,,,2,,4(B5),,,,,,,,,,,,,,,
AL,BO,Pat,Valaika,REG,B,,4,4,4,4,4,,,,,,,,,,,,,,
AL,BO,Andrew,Velazquez,REG,B,,,3,,3(B2),3,,,,,,,,,,,,,,
AL,BO,Mason,Williams,ADD,B,,,,,,3,3,3,,,,,,,,,,,,
AL,BO,Cobb,Alex,REG,P,,,,,,,,,,,,,,,,,,,,
AL,BO,Wojciechowski,Asher,REG,P,,,,,,,,,,,,,,,,,,,,
AL,BO,Kline,Branden,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,BO,Zimmermann,Bruce,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,BO,Fulmer,Carson,ADD,P,,,,,,,,,,,,,,,,,,,,
