TM,Location,HITTERS,AB,W,SO v lhp,BBv lhp,HIT v lhp,OB v lhp,TB v lhp,HR v lhp,BP v lhp,CL v lhp,DP v lhp,SO v rhp,BB v rhp,HIT v rhp,OB v rhp,TB v rhp,HR v rhp,BP v rhp,CL v rhp,DP v rhp,STEALING,STL,SPD,B,H,INJ,CA,1B,2B,3B,SS,LF,CF,RF,FIELDING
ARN,,"Alexander,B",230,22,36,19,13.3,41.3,27.3,1,2,3,10,49,6,13.9,28.9,22.6,1.8,3,4,16,"*2-7,12/8-11 (15-6)",D,14,C,D,2,,,308,223,,416,416,,3b-2e23 2b-3e8 cf-4(0)e16 lf-4e16
ARN,,"Barrosa,J+",71,2,34,0,4.8,7.8,12.3,1.4,2*,0,10,45,0,0.2,3.2,0.4,0,w*,0,10,-/- (---),E,14,D,D,1,,,,,,306,306,306,cf-3(+1)e6 lf-3e6 rf-3e6
ARN,,"Carroll,C*",564,67,22,10,19.3,32.3,45,3.8,8,-3,5,30,12,20.6,35.6,54.2,5.6,8,-2,5,"*2-5,11,12/- (19-15)",A,17,D,C,1,,,,,,,301,101,rf-1(+1)e1 cf-3e1
ARN,,"Del Castillo,A*",120,8,55,3,0,5,0,0,w*,0,13,54,3,23.2,28.2,34.6,2,5,-10,13,-/- (---),E,9,D,D,2,406,,,,,,,,"c-4(+3)e6,T-9(pb-0)"
ARN,,"Gurriel,L",500,31,0,9,27.6,39.7,34.5,2.3,4,-1,15,12,2,16.4,21.4,33.3,3,5,-1,17,"*2-5,11,12/- (16-12)",B,12,D,C,1,,,,,,304,,,lf-3(-1)e4
ARN,,"Herrera,J+",166,23,45,14,11.1,26,17.3,0,w,0,6,23,17,5.3,23.4,14.6,3.1,w,0,6,-/- (---),E,8,A,C,2,403,,,,,,,,"c-4(+1)e3,T-6(pb-0)"
ARN,,"Lawlar,J",66,6,49,15,10,28,20,0,w*,0,0,55,4,10,17,20,0,w*,0,0,*4/- (20-11),C,16,D,D,1,,,471,465,488,,,,3b-4e65 2b-4e71 ss-4e88
ARN,,"Locklear,T",103,10,65,3,3.8,12.8,11.4,2.5,5*,0,22,46,14,6.3,26.3,9,0.9,2,-3,20,"*2-5,12/- (18-13)",C,12,D,D,2,,406,,,,,,,1b-4e6
ARN,,"Marte,K+",480,64,6,12,22.1,38,44,4.8,8,-7,16,10,14,24.8,42.8,45,5.2,8,-12,16,7/- (13-6),D,12,D,C,2,,,210,,,,,,2b-2e10
ARN,,"McCann,J",123,8,21,9,24.6,40.6,34.6,0.8,1,-7,16,32,2,19.4,28.4,33.9,4,8,-8,18,-/- (---),E,10,D,D,2,204,425,,,,,,,"c-2(-1)e4,T-1(pb-0) 1b-4e25"
ARN,,"McCarthy,J*",206,10,3,0,17.6,19.6,26.6,0,w,-10,6,18,2,12.3,16.3,25.2,0.8,2,-3,6,"*4,5/- (20-13)",B,16,B,C,1,,,,,,303,303,303,lf-3(0)e3 cf-3e3 rf-3e3
ARN,,"Moreno,G",277,29,8,11,27,39,44.7,2.8,w,-12,14,15,10,27.7,38.7,38.2,2.5,5,-12,15,2-5/10 (13-6),D,11,D,C,6,101,,,,,,,,"c-1(0)e1,T-2(pb-2)"
ARN,,"Perdomo,G+",597,94,0,17,33,53,41,1.6,3,6,11,7,19,19.3,41.3,32.8,1.6,4,6,10,"*5,6/- (19-13)",A,15,A,B,1,,,,,118,,,,ss-1e18
ARN,,"Smith,P*",244,41,70,13,6.2,19.2,6.2,0,w,-4,12,42,21,20.8,41.8,35,1.8,4,-9,13,"2-5/11,12 (13-6)",D,11,D,D,5,,405,,,,,,,1b-4e5
ARN,,"Tawa,T",199,20,39,5,21.8,27.7,28.5,1.4,2,-12,20,37,15,6.1,22.1,17.1,2.8,5*,0,19,*4-6/- (19-13),B,14,C,D,1,,212,323,322,,306,406,306,2b-3e23 1b-2e12 cf-4(0)e6 lf-3e6 3b-3e22 rf-3e6
ARN,,"Thomas,A*",433,21,25,0,22.4,24.4,27.6,1.5,3,-11,0,35,1,23.8,26.8,30.9,0.3,1,-11,0,*2-6/- (15-12),C,16,B,C,1,,,,,,,204,,cf-2(-2)e4
ARN,,"Vargas,I+",115,2,1,0,21.3,25.3,30.3,3,5,6,20,4,0,26.8,30.8,41.5,3,w,6,20,-/- (---),E,13,D,B,4,,418,306,341,414,,,,2b-3e6 1b-4e18 3b-3e41 ss-4e14
ATN,,"Acuna,R",338,71,26,34,16.1,52.1,26.2,2.3,3,-8,5,26,24,25.4,51.4,45.4,6.4,8,-11,5,*5/- (19-6),B,15,D,D,4,,,,,,,,304,rf-3(-3)e4
ATN,,"Albies,O+",603,55,0,0,28.1,30.1,39,1,1,0,11,11,11,15.4,28.4,19.7,1.3,1,0,9,"*4,6/- (18-12)",B,14,D,C,1,,,402,,,,,,2b-4e2
ATN,,"Allen,N",371,31,15,15,14.3,31.3,14.3,0,w,-10,15,33,6,18.1,26.1,19.5,0,w,-11,16,*2-9/10-12 (15-9),C,14,A,C,1,,,259,,107,,,,ss-1e7 2b-2e59
ATN,,"Alvarez,N",188,12,32,12,8.3,25.4,11.1,0,w,1,0,25,2,22,29,39.3,2.8,w,1,0,-/- (---),E,11,D,D,5,,,,308,,,,,3b-3e8
ATN,,"Baldwin,D*",405,38,7,8,25.9,35.9,36.3,3.4,6,6,16,9,9,22.3,33.3,37,3,5,6,15,-/- (---),E,9,D,C,2,302,,,,,,,,"c-3(+2)e2,T-4(pb-1)"
ATN,,"Fairchild,S",51,4,25,16,17.1,33.2,37.5,0,w*,0,25,48,0,13.6,13.6,26,0,w,0,30,"*2-9,12/- (15-13)",C,15,D,D,6,,,,,,202,302,202,rf-2(-1)e2 lf-2e2 cf-3e2
ATN,,"Fraley,J*",191,25,42,0,15.7,16.7,15.7,0,w,-6,1,24,15,18.3,34.3,27.1,1.6,2,-6,0,"*2-8,12/9 (15-9)",C,14,D,D,4,,,,,,309,,309,rf-3(+1)e9 lf-3e9
ATN,,"Harris,M*",611,16,20,0,23.8,24.8,39.7,1,0,-5,7,18,0,22.7,23.7,34.4,2.5,4,-5,7,"*2-5,11,12/- (18-13)",A,15,B,C,1,,,,,,,101,,cf-1(-2)e1
ATN,,"Kelenic,J*",60,5,56,0,0,0,0,0,w*,0,14,51,8,7.8,15.8,16.4,2.2,3,-1,12,2-12/- (3-1),E,13,D,D,1,,,,,,,,318,rf-3(-1)e18
ATN,,"Murphy,S",291,35,46,23,6.8,34.8,26.3,6.4,8*,0,13,42,9,11,25,25.5,3.3,6*,0,21,-/- (---),E,9,D,D,4,201,,,,,,,,"c-2(-1)e1,T-3(pb-1)"
ATN,,"Olson,M*",624,91,34,7,28.1,36.2,46,2,3,1,16,26,21,19,41,35.1,3.4,6,1,14,2/- (20-6),E,10,D,C,0,,105,,,,,,,1b-1e5
ATN,,"Ozuna,M",487,94,28,35,9.8,45.8,15.9,1.2,1,-4,9,29,23,13.8,37.8,25,3.2,6,-6,9,-/- (---),E,9,D,D,1,,,,,,,,,
ATN,,"Profar,J+",318,48,12,13,20.8,36.8,30.8,1.8,3,1,7,10,20,13.6,36.5,26,2.8,5,1,6,"*4,5/- (18-12)",B,13,D,D,1,,,,,,402,,,lf-4(+2)e2
ATN,,"Riley,A",416,27,22,2,22.3,26.3,32.9,3.3,5,1,17,42,5,22.5,29.5,36.7,2.8,4,1,16,6/- (13-6),E,11,D,D,3,,,,318,,,,,3b-3e18
ATN,,"Verdugo,A*",197,14,16,6,2.3,10.4,2.3,0,w,0,0,6,4,23.5,29.5,29.9,0,w,-3,0,2/- (20-6),E,12,D,C,1,,,,,,307,,,lf-3(-2)e7
ATN,,"White,E",256,11,31,0,19.2,21.2,35.7,5.1,8,-6,4,32,0,18.8,20.8,31.6,1.8,3,-6,5,"*4,5/- (19-13)",B,16,C,D,1,,425,,,,203,203,203,rf-2(-2)e3 lf-2e3 cf-2e3 1b-4e25
ATN,,"Wisely,B*",54,7,21,16,6.9,23,12.1,0,w,4,0,26,14,10.6,24.6,21.5,0.4,0*,0,0,"*2-7,12/9,10 (15-7)",D,13,B,D,1,,,311,465,314,,,,2b-3e11 3b-4e65 ss-3e14
ATN,,"Brujan,V+",87,6,56,5,18.6,25.6,22.6,0,w,4,6,18,3,23.8,28.8,30.4,0,w,4,6,*2-7/- (15-13),C,14,D,C,2,,,406,450,412,416,416,416,3b-4e50 ss-4e12 rf-4(+1)e16 2b-4e6 lf-4e16 cf-4e16
ATN,,"Kim,H",171,16,7,12,18.8,32.8,26.3,2,2,-4,6,27,9,16.4,27.4,20.5,1.4,2,-4,8,*4-6/- (18-13),B,15,D,C,5,,,205,,212,,,,ss-2e12 2b-2e5
BAA,,"Basallo,S*",109,6,21,1,3.4,10.4,10,1.6,2*,0,25,32,1,8.1,15.1,21.9,2.8,2*,0,25,-/- (---),E,10,D,D,2,408,404,,,,,,,"c-4(-2)e8,T-12(pb-0) 1b-4e4"
BAA,,"Beavers,D*",110,26,48,19,4.5,23.6,11.5,1.3,1*,0,0,30,34,13.4,47.4,25.9,2.3,1,-2,0,"*2-6,11,12/8 (15-7)",D,14,D,D,1,,,,,,414,,414,lf-4(-1)e14 rf-4e14
BAA,,"Carlson,D+",217,21,31,3,15.8,20.8,25.4,3,w,-9,10,21,11,10.3,23.3,22.2,2.2,1,-2,8,*2-7/10-12 (15-7),C,13,D,D,1,,,,,,204,304,304,lf-2(-1)e4 cf-3e4 rf-3e4
BAA,,"Cowser,C*",327,27,51,0,7.5,11.4,21.8,4.6,7,-1,11,52,8,8.4,20.5,21.9,3,3,0,10,"*5,6/- (20-13)",A,14,D,D,4,,,,,,204,304,204,cf-3(-2)e4 lf-2e4 rf-2e4
BAA,,"Henderson,G*",577,62,25,6,17.8,26.8,22.9,0.3,0,2,7,19,11,27.4,41.4,43.8,2,2,2,6,"*2-5,12/- (19-13)",AA,17,D,C,1,,,,,210,,,,ss-2e10
