name,url,id,team,pos,rank,org_rank,fv,eta,risk,signed,signed_from
Vladimir Guerrero Jr.,https://www.fangraphs.com/statss.aspx?playerid=sa920245&position=3B,sa920245,TOR,3B,1,1,70,2019,Med,2015 J2 (TOR),Dominican Republic
Fernando Tatis Jr.,https://www.fangraphs.com/statss.aspx?playerid=sa919910&position=SS,sa919910,SDP,SS,2,1,65,2019,High,2015 J2 (CHW),Dominican Republic
Eloy Jimenez,https://www.fangraphs.com/statss.aspx?playerid=sa830373&position=OF,sa830373,CHW,RF,3,1,65,2019,High,2013 J2 (CHC),Dominican Republic
Victor Robles,https://www.fangraphs.com/statss.aspx?playerid=18363&position=OF,18363,WSN,CF,4,1,65,2018,Low,2013 J2 (WAS),Dominican Republic
Royce Lewis,https://www.fangraphs.com/statss.aspx?playerid=sa3004259&position=SS,sa3004259,MIN,SS,5,1,60,2020,High,2017 Draft Rnd 1 (MIN),JSerra HS (CA)
Wander Franco,https://www.fangraphs.com/statss.aspx?playerid=sa3007033&position=SS,sa3007033,TBR,SS,6,1,60,2021,High,2017 J2 (TBR),Dominican Republic
Bo Bichette,https://www.fangraphs.com/statss.aspx?playerid=sa917949&position=2B/SS,sa917949,TOR,SS,7,2,60,2019,High,2016 Draft Rnd 2 (TOR),Lakewood HS (FL)
Kyle Tucker,https://www.fangraphs.com/statss.aspx?playerid=18345&position=OF,18345,HOU,RF,8,1,60,2019,Med,2015 Draft Rnd 1 (HOU),Plant HS (FL)
Nick Senzel,https://www.fangraphs.com/statss.aspx?playerid=sa873264&position=3B,sa873264,CIN,3B,9,1,60,2018,Med,2016 Draft Rnd 1 (CIN),Tennessee
Carter Kieboom,https://www.fangraphs.com/statss.aspx?playerid=sa917937&position=SS,sa917937,WSN,SS,10,2,60,2020,Med,2016 Draft Rnd 1 (WAS),Walton HS (GA)
Brendan Rodgers,https://www.fangraphs.com/statss.aspx?playerid=sa874238&position=2B/SS,sa874238,COL,SS,11,1,60,2019,Med,2015 Draft Rnd 1 (COL),Lake Mary HS (FL)
Forrest Whitley,https://www.fangraphs.com/statss.aspx?playerid=sa917930&position=P,sa917930,HOU,RHP,12,2,60,2018,High,2016 Draft Rnd 1 (HOU),Alamo Heights HS (TX)
Taylor Trammell,https://www.fangraphs.com/statss.aspx?playerid=sa917943&position=OF,sa917943,CIN,CF,13,2,60,2021,Med,2016 Draft Rnd 1 (CIN),Mount Paran HS (GA)
Brendan McKay,https://www.fangraphs.com/statss.aspx?playerid=sa829698&position=P,sa829698,TBR,LHP/1B,14,2,60,2019,High,2017 Draft Rnd 1 (TBR),Louisville
Alex Kirilloff,https://www.fangraphs.com/statss.aspx?playerid=sa917929&position=OF,sa917929,MIN,RF,15,2,60,2020,High,2016 Draft Rnd 1 (MIN),Plum HS (PA)
Sixto Sanchez,https://www.fangraphs.com/statss.aspx?playerid=sa873550&position=P,sa873550,PHI,RHP,16,1,60,2020,High,2014 J2 (PHI),Dominican Republic
