rank,pos,name,birthdate
1,OF,Victor Victor Mesa,"July 20, 1996"
2,IF,Marco Luciano,"Oct 9, 2001"
3,C,Diego Cartaya,"Sept 7, 2001"
4,IF,Noelvi Marte,"Oct 16, 2001"
5,P,Osiel Rodriguez,"Nov 22, 2001"
6,P,Richard Gallardo,"Sept 6, 2001"
7,IF,Orelvis Martinez,"Nov 19, 2001"
8,IF,Gabriel Rodriguez,"Feb 22, 2002"
9,C,Francisco Alvarez,"Nov 19, 2001"
10,OF,Misael Urbina,"April 26, 2002"
11,OF,Jairo Pomares,"Aug 4, 2000"
12,OF,Alvin Guzman,"Oct 20, 2001"
13,IF,Alejandro Pie,"Jan 31, 2002"
14,C,Antonio Gomez,"Nov 13, 2001"
15,OF,Kevin Alcantara,"July 12, 2002"
16,P,Starlyn Castillo,"Feb 24, 2002"
17,OF,Jose de la Cruz,"Jan 3, 2002"
18,IF,Omar Florentino,"Oct 26, 2001"
19,IF,Juan Guerrero,"Sept 10, 2001"
20,OF,Eduardo Lopez,"May 8, 2002"
21,IF,Junior Sanquintin,"Jan 8, 2002"
22,P,Abraham Calzadilla,"Dec 12, 2001"
23,P,Jerming Rosario,"May 8, 2002"
24,P,Sandy Gaston,"Dec 16, 2001"
25,OF,Alexander Ramirez,"Aug 29, 2002"
26,IF,Malcom Nunez,"March 9, 2001"
27,OF,Jose Lopez,"Jan 4, 2002"
28,OF,Eduarqui Fernandez,"Nov 20, 2001"
29,OF,Freddy Valdez,"Dec 6, 2001"
30,IF,Ryson Polonius,"Sept 24, 2001"
31,IF,Rainer Polonius,"Sept 24, 2001"
32,P,Fernando Ortega,"Oct 10, 2001"
33,IF,Warming Bernabel,"June 6, 2002"
34,C,Fernando Villalobos,"June 24, 2002"
35,OF,Sergio Campana,"March 29, 2002"
36,C,Jose Rodriguez,"Oct 5, 2001"
37,OF,Luis Matos,"Jan 28, 2002"
38,IF,Adinso Reyes,"Oct 22, 2001"
39,IF,Angel Martinez,"Jan 27, 2002"
40,OF,Estanli Castillo,"Oct 7, 2001"
41,IF,Branlyn Jaraba,"March 20, 2002"
42,P,Joalbert Angulo,"Oct 30, 2001"
43,P,Denny Larrondo,"May 31, 2002"
44,P,Diomedes Sierra,"Sept 11, 2001"
45,IF,Jose Bonilla,"April 2, 2002"
46,IF,Rafael Morel,"Nov 22, 2001"
47,P,Joel Machado,"Feb 9, 2002"
48,C,Agustin Ramirez,"Sept 10, 2001"
49,IF,Eduardo Garcia,"July 10, 2002"
50,IF,Daury del Rosario,"Feb 14, 2002"
