prospect_year,player_id,player_first_name,player_last_name,rank,position,preseason100,preseason20,team_file_code,thumb,thumb62x75,thumb124x150,photo180x218,photo360x436
2018,665489,Vladimir,Guerrero Jr.,1,3B,3,1,TOR,/assets/images/7/1/2/289449712/cuts/74x74/cut.jpg,/assets/images/7/1/2/289449712/cuts/62x75/cut.jpg,/assets/images/7/1/2/289449712/cuts/124x150/cut.jpg,/assets/images/7/1/2/289449712/cuts/180x218/cut.jpg,/assets/images/7/1/2/289449712/cuts/360x436/cut.jpg
2018,665487,Fernando,Tatis Jr.,2,SS,8,1,SD,/assets/images/0/2/2/275230022/cuts/74x74/cut.jpg,/assets/images/0/2/2/275230022/cuts/62x75/cut.jpg,/assets/images/0/2/2/275230022/cuts/124x150/cut.jpg,/assets/images/0/2/2/275230022/cuts/180x218/cut.jpg,/assets/images/0/2/2/275230022/cuts/360x436/cut.jpg
2018,650391,Eloy,Jimenez,3,OF,4,1,CWS,/assets/images/3/6/6/283204366/cuts/74x74/cut.jpg,/assets/images/3/6/6/283204366/cuts/62x75/cut.jpg,/assets/images/3/6/6/283204366/cuts/124x150/cut.jpg,/assets/images/3/6/6/283204366/cuts/180x218/cut.jpg,/assets/images/3/6/6/283204366/cuts/360x436/cut.jpg
2018,645302,Victor,Robles,4,OF,6,1,WAS,/assets/images/5/9/0/294170590/cuts/74x74/cut.jpg,/assets/images/5/9/0/294170590/cuts/62x75/cut.jpg,/assets/images/5/9/0/294170590/cuts/124x150/cut.jpg,/assets/images/5/9/0/294170590/cuts/180x218/cut.jpg,/assets/images/5/9/0/294170590/cuts/360x436/cut.jpg
2018,663656,Kyle,Tucker,5,OF,17,2,HOU,/assets/images/7/1/0/287448710/cuts/74x74/cut.jpg,/assets/images/7/1/0/287448710/cuts/62x75/cut.jpg,/assets/images/7/1/0/287448710/cuts/124x150/cut.jpg,/assets/images/7/1/0/287448710/cuts/180x218/cut.jpg,/assets/images/7/1/0/287448710/cuts/360x436/cut.jpg
2018,669222,Nick,Senzel,6,3B/2B,7,1,CIN,/assets/images/4/8/0/275228480/cuts/74x74/cut.jpg,/assets/images/4/8/0/275228480/cuts/62x75/cut.jpg,/assets/images/4/8/0/275228480/cuts/124x150/cut.jpg,/assets/images/4/8/0/275228480/cuts/180x218/cut.jpg,/assets/images/4/8/0/275228480/cuts/360x436/cut.jpg
2018,668904,Royce,Lewis,7,SS,20,1,MIN,/assets/images/0/7/2/287482072/cuts/74x74/cut.jpg,/assets/images/0/7/2/287482072/cuts/62x75/cut.jpg,/assets/images/0/7/2/287482072/cuts/124x150/cut.jpg,/assets/images/0/7/2/287482072/cuts/180x218/cut.jpg,/assets/images/0/7/2/287482072/cuts/360x436/cut.jpg
2018,666215,Forrest,Whitley,8,RHP,9,1,HOU,/assets/images/4/9/8/264087498/cuts/74x74/cut.jpg,/assets/images/4/9/8/264087498/cuts/62x75/cut.jpg,/assets/images/4/9/8/264087498/cuts/124x150/cut.jpg,/assets/images/4/9/8/264087498/cuts/180x218/cut.jpg,/assets/images/4/9/8/264087498/cuts/360x436/cut.jpg
2018,663898,Brendan,Rodgers,9,INF,15,1,COL,/assets/images/5/4/2/263910542/cuts/74x74/cut.jpg,/assets/images/5/4/2/263910542/cuts/62x75/cut.jpg,/assets/images/5/4/2/263910542/cuts/124x150/cut.jpg,/assets/images/5/4/2/263910542/cuts/180x218/cut.jpg,/assets/images/5/4/2/263910542/cuts/360x436/cut.jpg
2018,666135,Alex,Kirilloff,10,OF,,6,MIN,/assets/images/6/6/8/287482668/cuts/74x74/cut.jpg,/assets/images/6/6/8/287482668/cuts/62x75/cut.jpg,/assets/images/6/6/8/287482668/cuts/124x150/cut.jpg,/assets/images/6/6/8/287482668/cuts/180x218/cut.jpg,/assets/images/6/6/8/287482668/cuts/360x436/cut.jpg
