Rank,Top 100,Draft,Name,Pos,Age,Ht,Wt,Bats,Thr,School,College Commit,Athl,Frame,Perf,FV,Risk,Report,Video
"1","",,"Adley Rutschman","C","21.3","6' 2""","216","S","R","Oregon State","",0,0,0,"55","","",""
"2","",,"C.J. Abrams","SS","18.7","6' 2""","182","L","R","Blessed Trinity HS GA","Alabama",0,0,0,"50","","",""
"3","",,"Bryson Stott","SS","21.7","6' 3""","195","L","R","UNLV","",0,0,0,"50","","",""
"4","",,"Corbin Carroll","CF","18.8","5' 10""","165","L","L","Lakeside HS WA","UCLA",0,0,0,"50","","",""
"5","",,"Michael Busch","RF","21.6","5' 10""","200","R","R","North Carolina","",0,0,0,"50","","",""
"6","",,"Andrew Vaughn","1B","21.2","5' 11""","210","R","R","Cal","",0,0,0,"50","","",""
"7","",,"Riley Greene","RF","18.7","6' 2""","190","L","L","Hagerty HS FL","Florida",0,0,0,"50","","",""
"8","",,"Greg Jones","SS","21.3","5' 11""","170","S","R","UNC Wilmington","",0,0,0,"50","","",""
"9","",,"Bobby Witt, Jr.","SS","19.0","6' 1""","185","R","R","Coleyville Heritage HS TX","Oklahoma",0,0,0,"50","","",""
"10","",,"Michael Toglia","RF","20.8","6' 4""","205","S","L","UCLA","",0,0,0,"50","","",""
"11","",,"Shea Langeliers","C","21.6","6' 0""","190","R","R","Baylor","",0,0,0,"50","","",""
"12","",,"Carter Stewart","RHP","19.6","6' 6""","200","R","R","Eastern Florida JC FL","None",0,0,0,"50","","",""
"13","",,"Logan Davidson","SS","21.5","6' 3""","185","S","R","Clemson","",0,0,0,"45","","",""
"14","",,"Graeme Stinson","LHP","21.8","6' 5""","245","L","L","Duke","",0,0,0,"45","","",""
"15","",,"Spencer Jones","1B/LHP","18.1","6' 7""","205","L","L","La Costa Canyon HS CA","Vanderbilt",0,0,0,"45","","",""
"16","",,"Matthew Lugo","SS","18.1","6' 1""","185","R","R","Beltran Academy HS PR","Miami",0,0,0,"45","","",""
"17","",,"Dominic Fletcher","RF","21.8","5' 9""","188","L","L","Arkansas","",0,0,0,"45","","",""
"18","",,"Myles Austin","SS","18.3","6' 3""","177","R","R","Westlake HS GA","Alabama",0,0,0,"45","","",""
"19","",,"Braden Shewmake","SS","21.6","6' 4""","180","L","R","Texas A&M","",0,0,0,"45","","",""
"20","",,"Brennan Malone","RHP","18.8","6' 5""","210","R","R","IMG Academy HS FL","North Carolina",0,0,0,"45","","",""
"21","",,"Daniel Espino","RHP","18.4","6' 2""","200","R","R","Premier Academy HS GA","LSU",0,0,0,"45","","",""
"22","",,"Matt Wallner","RF","21.5","6' 4""","220","L","R","Southern Mississippi","",0,0,0,"45","","",""
"23","",,"Maurice Hampton","CF","17.9","6' 0""","195","R","R","Memphis University HS TN","LSU",0,0,0,"45","","",""
"24","",,"Matthew Thompson","RHP","18.8","6' 3""","184","R","R","Cypress Ranch HS TX","Texas A&M",0,0,0,"45","","",""
"25","",,"J.J. Bleday","RF","21.6","6' 3""","205","L","L","Vanderbilt","",0,0,0,"45","","",""
"26","",,"Nick Quintana","3B","21.7","6' 0""","185","R","R","Arizona","",0,0,0,"45","","",""
"27","",,"Rece Hinds","3B","18.8","6' 4""","220","R","R","IMG Academy HS FL","LSU",0,0,0,"45","","",""
"28","",,"Nasim Nunez","SS","18.8","5' 9""","160","S","R","Collins Hill HS GA","Clemson",0,0,0,"40+","","",""
"29","",,"Will Holland","SS","21.1","5' 10""","175","R","R","Auburn","",0,0,0,"40+","","",""
"30","",,"Josh Jung","3B","21.3","6' 2""","215","R","R","Texas Tech","",0,0,0,"40+","","",""
"31","",,"Drew Mendoza","3B","21.7","6' 4""","190","L","R","Florida State","",0,0,0,"40+","","",""
"32","",,"Matthew Allan","RHP","18.1","6' 3""","210","R","R","Seminole HS FL","Florida",0,0,0,"40+","","",""
"33","",,"Austin Shenton","3B","21.4","6' 0""","200","L","R","Florida International","",0,0,0,"40+","","",""
"34","",,"Brooks Lee","SS","18.3","6' 1""","180","S","R","San Luis Obispo HS CA","Cal Poly",0,0,0,"40+","","",""
"35","",,"Zack Thompson","LHP","21.6","6' 2""","225","S","L","Kentucky","",0,0,0,"40+","","",""
"36","",,"Kyle Stowers","RF","21.4","6' 3""","205","L","L","Stanford","",0,0,0,"40+","","",""
"37","",,"Jerrion Ealy","CF","18.8","5' 10""","192","R","R","Jackson Prep HS MS","Ole Miss",0,0,0,"40+","","",""
"38","",,"Quin Cotton","CF","21.2","5' 11""","190","R","R","Grand Canyon","",0,0,0,"40+","","",""
"39","",,"Ryan Zeferjahn","RHP","21.3","6' 4""","216","R","R","Kansas","",0,0,0,"40+","","",""
"40","",,"Anthony Volpe","SS","18.1","5' 11""","180","R","R","Delbarton HS NJ","Vanderbilt",0,0,0,"40+","","",""
"41","",,"Chase Strumpf","2B","21.3","6' 1""","195","R","R","UCLA","",0,0,0,"40+","","",""
"42","",,"Will Robertson","RF","21.5","6' 1""","210","L","L","Creighton","",0,0,0,"40+","","",""
"43","",,"J.J. Goss","RHP","18.5","6' 3""","185","R","R","Cypress Ranch HS TX","Texas A&M",0,0,0,"40+","","",""
"44","",,"Wil Dalton","CF","21.6","6' 0""","180","R","R","Florida","",0,0,0,"40","","",""
"45","",,"Will Wilson","2B","20.9","6' 0""","175","R","R","North Carolina State","",0,0,0,"40","","",""
"46","",,"Jonny Deluca","CF","20.9","5' 11""","180","S","R","Oregon","",0,0,0,"40","","",""
"47","",,"Jack Leiter","RHP","19.1","6' 1""","195","R","R","Delbarton HS NJ","Vanderbilt",0,0,0,"40","","",""
"48","",,"Erik Miller","LHP","21.3","6' 5""","220","L","L","Stanford","",0,0,0,"40","","",""
"49","",,"Austin Langworthy","RF","21.8","5' 11""","200","L","L","Florida","",0,0,0,"40","","",""
"50","",,"Michael Massey","2B","21.2","6' 1""","185","L","R","Illinois","",0,0,0,"40","","",""
"51","",,"Gunnar Henderson","3B","17.9","6' 3""","195","L","R","Morgan HS AL","Auburn",0,0,0,"40","","",""
"52","",,"Matt McCormick","C","18.8","6' 0""","195","L","R","St. Laurence HS IL","West Virgina",0,0,0,"40","","",""
"53","",,"Alek Manoah","RHP","21.4","6' 7""","270","R","R","West Virginia","",0,0,0,"40","","",""
"54","",,"Dilan Rosario","SS","18.0","6' 2""","170","R","R","Leadership Christian HS PR","USC",0,0,0,"40","","",""
"55","",,"Jaden Brown","SS","17.6","6' 1""","186","R","R","St. Marcellinus HS CAN","Kentucky",0,0,0,"40","","",""
"56","",,"Quinn Priester","RHP","18.7","6' 3""","190","R","R","Cary-Grove HS IL","TCU",0,0,0,"40","","",""
"57","",,"Hunter Barco","LHP","18.5","6' 4""","208","L","L","Bolles HS FL","Florida",0,0,0,"40","","",""
"58","",,"Kendall Williams","RHP","18.8","6' 6""","190","R","R","IMG Academy HS FL","Vanderbilt",0,0,0,"40","","",""
"59","",,"Jack Kochanowicz","RHP","18.5","6' 6""","207","R","R","Harriton HS PA","Virginia",0,0,0,"40","","",""
"60","",,"Kenyon Yovan","RHP","21.5","6' 1""","215","R","R","Oregon","",0,0,0,"40","","",""
"61","",,"Jonathan French","C","18.7","5' 11""","210","R","R","Parkview HS GA","Clemson",0,0,0,"40","","",""
"62","",,"Matt Canterino","RHP","21.5","6' 2""","205","R","R","Rice","",0,0,0,"40","","",""
"63","",,"Tyler Dyson","RHP","21.5","6' 3""","225","R","R","Florida","",0,0,0,"40","","",""
