bp,pl,ba,mlb,kl,fg,js,name,team,pos,age,eta,fv,risk
,44,45,,,,21,Yusei Kikuchi,Mariners,LHP,28,2019,55,Low
37,35,66,34,44,,27,Chris Paddack,Padres,RHP,23,2020,55,Moderate
74,54,67,48,50,,53,Luis Patino,Padres,RHP,19,2021,50,Moderate
46,70,,62,70,,59,Joshua "Josh" James,Astros,RHP,26,2019,55,Low
96,33,64,,59,,68,Vidal Brujan,Rays,2B,21,2021,55,Moderate
,,,,,,74,Jordan Groshans,Blue Jays,3B,19,2022,55,High
60,52,80,82,51,,76,Bryse Wilson,Braves,RHP,21,2019,55,Moderate
64,,,66,,,80,Jonathan Loaisiga,Yankees,RHP,24,2019,50,Low
,,69,,83,,81,Tony Santillan,Reds,SP,,2019,45,
,,,93,103,,84,Ryan Weathers,Padres,LHP,19,2023,45,
65,65,83,86,75,,85,Drew Waters,Braves,OF,20,2021,55,Moderate
,90,93,,,,88,Brandon Lowe,Rays,2B,24,2019,50,Low
,,,94,91,,89,Miguel Amaya,Cubs,C,20,2022,50,Low
,,78,81,48,,90,Corbin Martin,Astros,RHP,22,2020,50,Low
86,55,,100,110,,95,Nico Hoerner,Cubs,SS,21,2020,55,Low
,75,97,,,,97,Nathaniel "Nate" Lowe,Rays,1B,23,2019,50,Moderate
,,,,,,,Marco Luciano,Giants,SS,17,2023,65,Extreme
,,,,,,,Xavier Edwards,Padres,SS,19,2021,50,High
,,,,,,,Brayan Rocchio,Indians,SS,18,2022,50,Extreme
,,,,,,,Grant Lavigne,Rockies,1B,19,,50,
93,,,,,,,Luis Oviedo,Indians,RHP,,,45,Extreme
97,,,,,,,Calvin Mitchell,Pirates,OF,,,45,High
,,,,,,,Andy Yerzy,Diamondbacks,C,,,,
,,,,,,,CJ Alexander,Braves,3B,,,,
,,,,,,,Cole Roederer,Cubs,OF,,,,
,,,,,,,Luis Gonzalez,White Sox,OF,,,,
,,,,,,,Luis Santana,Astros,SS,,,,
,,,,,,,Kyle Isbel,Royals,OF,,,,
,,,,,,,D'Shawn Knowles,Anges,OF,,,,
,,,,,,,Jose Devers,Marlins,SS,,,,
,,,,,,,Luis Arraez,Twins,2B,,,,
,,,,,,,Shervyen Newton,Mets,SS,,,,
,,,,,,,Antonio Cabello,Yankees,OF,,,,
,,,,,,,Jameson Hannah,Athletics,OF,,,,
,,,,,,,Moises Gomez,Rays,OF,,,,
,,,,,,,Jonathan Ornelas,Rangers,SS,,,,
,,,,,,,Samad Taylor,Blue Jays,2B,,,,
,,,,52,,,Spencer Howard,Phillies,RHP,22,,45,
,73,,,61,,,Deivi Garcia,Yankees,RHP,20,2020,50,High
,,81,,64,,,Elehuris Montero,Cardinals,3B,20,2020,50,Moderate
91,,79,96,78,,,Oneil Cruz,Pirates,SS,20,2021,50,High
,,,,85,,,Zack Brown,Brewers,RHP,24,,45,
100,60,,,93,,,Kristian Robinson,Diamondbacks,OF,18,2022,60,Extreme
,,,,101,,,Everson Pereira,Yankees,OF,18,,45,
,,,,105,,,Joe Palumbo,Rangers,LHP,24,,45,
,87,,,,,,George Valera,Indians,OF,18,2022,60,Extreme
99,88,,,,,,Jordyn Adams,Angels,OF,19,2023,60,Extreme
,94,,,,,,Ryan McKenna,Orioles,OF,22,2020,55,Low
,100,,,,,,Tyler Nevin,Rockies,1B,22,2020,50,Low
,,84,98,,,,Eric Pardinho,Blue Jays,RHP,18,2022,50,Extreme
,,91,,,,,Kevin Smith,Blue Jays,SS,22,2020,50,Moderate
,,,,,,,Hudson Potts,Padres,3B,20,2020,50,Moderate
42,,,,,,,Seuly Matias,Royals,OF,22,2022,50,High
,,,,,,,Nicky Lopez,Royals,SS,24,2019,50,Low
,,,,,,,Michael King,Yankees,RHP,23,2019,50,Moderate
,,,,,,,Brock Burke,Rangers,LHP,22,2020,50,Moderate
,,,,,,,Luis Alexander Basabe,White Sox,OF,22,2020,50,Low
,,,,,,,Daniel Lynch,Royals,LHP,22,2020,50,High
,,,,,,,Julio Rodriguez,Mariners,OF,18,2023,50,High
,,,,,,,Jordan Balazovic,Twins,RHP,20,,40,
,,,,,,,Darwinzon Hernandez,Red Sox,LHP,22,,45,
,,,,,,,Tony Gonsolin,Dodgers,RHP,22,,45,
,,,,,,,Chavez Young,Blue Jays,CF,21,2020,45,Moderate
,99,88,,69,,,Luis Garcia (PHI),Phillies,SS,18,2022,50,High
