last_name,first_name,age,raat,pos,level,rp?,st,ip,pa,birthdate,id,raar,raal,target
Mikolas,Miles,30,34.40,P,B,,32,,,1988-08-23,9803,32.80,1.60,x
Voit,Luke,27,23.10,IF,B,,,,161,1991-02-13,14811,11.90,11.20,
McNeil,Jeff,26,18.70,IF,B,,,,248,1992-04-08,15362,14.80,3.90,
Canha,Mark,29,17.40,IF-OF,A,,,,411,1989-02-15,11445,0.10,17.30,x
O'Hearn,Ryan,25,16.90,IF-OF,B,,,,170,1993-07-26,16442,17.40,-0.50,
Shields,James,36,-0.10,P,B,x,33,306.3,,1981-12-20,7059,-8.00,7.90,
Grossman,Robbie,29,16.60,OF,A,,,,465,1989-09-16,5254,3.40,13.10,x
White,Tyler,28,16.40,IF,A,,,,237,1990-10-29,15564,8.30,8.10,
Lyles,Jordan,28,1.20,P,B,x,8,130.8,,1990-10-19,7593,-6.20,7.40,
Holt,Brock,30,15.10,IF-OF,A,,,,367,1988-06-11,9345,10.20,4.90,x
McFarland,T.J.,29,4.40,P,B,x,,72.0,,1989-06-08,3237,-1.20,5.60,
Gant,John,26,15.00,P,B,x,19,171.0,,1992-08-06,13684,10.00,5.00,x
Choi,Ji-Man,27,14.60,IF-OF,A,,,,221,1991-05-19,5452,15.00,-0.40,
Fry,Jace,25,8.10,P,B,x,1,51.1,,1993-07-09,16159,3.30,4.80,
Reyes,Franmil,23,13.90,OF,B,,,,285,1995-07-07,14566,2.20,11.70,x
Martini,Nick,28,13.50,OF,B,,,,179,1990-06-27,12005,12.90,0.60,
Venters,Jonny,33,4.10,P,B,x,1,34.1,,1985-03-20,7175,-0.30,4.40,
Stanek,Ryne,27,9.10,P,B,x,29,66.1,,1991-07-26,15947,4.80,4.30,
Liriano,Francisco,35,-5.00,P,B,x,26,199.8,,1983-10-26,3201,-9.30,4.30,
Yarbrough,Ryan,26,7.50,P,B,x,6,220.6,,1991-12-31,16502,3.60,3.90,x
Rodriguez,Dereck,26,16.80,P,B,x,19,177.1,,1992-06-05,14509,13.00,3.80,x
Fillmyer,Heath,24,0.60,P,B,x,13,123.1,,1994-05-16,17466,-3.00,3.60,
Trivino,Lou,27,14.30,P,B,x,1,74.0,,1991-10-01,15043,10.80,3.50,x
Goeddel,Erik,29,5.40,P,B,x,,36.2,,1988-12-20,11712,1.90,3.50,
Miley,Wade,32,11.10,P,B,,16,,,1986-11-13,8779,9.10,2.00,
Kelly,Joe,30,6.80,P,B,x,,65.2,,1988-06-09,9761,3.40,3.40,
Koch,Matt,28,-8.40,P,B,x,14,129.3,,1990-11-02,13420,-11.80,3.40,
Moronta,Reyes,25,12.90,P,B,x,,65.0,,1993-01-06,14966,9.60,3.30,
Chirinos,Yonny,24,9.10,P,B,x,7,133.8,,1993-12-26,16401,5.80,3.30,x
Astudillo,Willians,27,9.90,C,B,,,,97,1991-10-14,15608,6.00,3.90,
Dominguez,Seranthony,24,16.20,P,B,x,,58.0,,1994-11-25,19249,13.00,3.20,x
Bassitt,Chris,29,6.90,P,B,x,7,47.2,,1989-02-22,12304,3.70,3.20,
Culberson,Charlie,29,9.70,IF-OF,A,,,,322,1989-04-10,3298,7.60,2.10,x
Castillo,Diego,24,11.90,P,B,x,11,56.2,,1994-01-18,17496,8.80,3.10,
Perez,Oliver,37,9.80,P,B,x,,32.1,,1981-08-15,1514,6.70,3.10,
Hudson,Daniel,31,5.30,P,B,x,1,46.0,,1987-03-09,7146,2.20,3.10,
Hirano,Yoshihisa,34,12.60,P,B,x,,66.1,,1984-03-08,19756,9.60,3.00,
Jackson,Edwin,35,8.60,P,B,,17,,,1983-09-09,1841,5.60,3.00,
Castillo,Jose,22,9.40,P,B,x,,38.1,,1996-01-10,17169,6.40,3.00,
Sipp,Tony,35,8.70,P,B,x,,38.2,,1983-07-12,8280,5.70,3.00,
Brault,Steven,26,2.20,P,B,x,5,136.8,,1992-04-29,15291,-0.80,3.00,x
Gilmartin,Sean,28,-1.60,P,B,x,,27.0,,1990-05-08,12781,-4.60,3.00,
Wisdom,Patrick,27,7.90,IF,B,,,,58,1991-08-27,13602,4.40,3.40,
Carle,Shane,27,10.20,P,B,x,,63.0,,1991-08-30,15258,7.30,2.90,
Palka,Daniel,27,7.70,IF-OF,A,,,,449,1991-10-28,14897,11.30,-3.60,x
Poncedeleon,Daniel,26,3.60,P,B,x,4,33.0,,1992-01-16,16110,0.70,2.90,
Hill,Tim,28,2.20,P,B,x,,45.2,,1990-02-10,16814,-0.40,2.60,
Lowe,Brandon,24,7.20,IF,B,,,,148,1994-07-06,18882,5.10,2.10,
Garver,Mitch,27,6.90,C,A,,,,335,1991-01-15,15161,9.00,-2.10,x
Axford,John,35,-0.30,P,B,x,1,54.2,,1983-04-01,9059,-2.90,2.60,
Santana,Edgar,27,5.30,P,B,x,,66.1,,1991-10-16,17355,2.80,2.50,
Cole,Taylor,29,8.30,P,B,x,2,36.0,,1989-08-20,11964,5.90,2.40,
Holliday,Matt,38,6.30,OF,V,,,,65,1980-01-15,1873,2.20,4.10,
Avilan,Luis,29,3.90,P,B,x,,45.1,,1989-07-19,2882,1.50,2.40,
Scott,Tanner,24,8.30,P,B,x,,53.1,,1994-07-22,17586,6.00,2.30,
Coleman,Louis,32,4.70,P,B,x,,51.1,,1986-04-04,9720,2.40,2.30,
Oswalt,Corey,25,-5.10,P,B,x,12,64.2,,1993-09-03,13677,-7.40,2.30,
Reyes,Pablo,25,5.90,OF,B,,,,63,1993-09-05,16357,0.20,5.80,
Hardy,Blaine,31,6.20,P,B,x,13,129.0,,1987-03-14,6499,4.00,2.20,x
Beeks,Jalen,25,-3.20,P,B,x,1,50.2,,1993-07-10,17192,-5.40,2.20,
Rosario,Randy,24,-0.60,P,B,x,,46.2,,1994-05-18,14508,-2.70,2.10,
Grace,Matt,30,8.50,P,B,x,,59.2,,1988-12-14,11449,6.50,2.00,
De La Rosa,Jorge,37,4.90,P,B,x,,56.0,,1981-04-05,2047,3.00,1.90,
Hicks,Jordan,22,13.20,P,B,x,,115.8,,1996-09-06,19618,11.40,1.80,x
Valdez,Framber,25,4.80,P,B,x,5,37.0,,1993-11-19,17295,3.00,1.80,
Mayza,Tim,26,2.70,P,B,x,,35.2,,1992-01-15,15042,0.90,1.80,
Oberg,Scott,28,13.40,P,B,x,,58.2,,1990-03-13,13911,11.70,1.70,
LaMarre,Ryan,30,5.30,OF,B,,,,180,1988-11-21,10700,-0.50,5.80,x
Anderson,Justin,26,6.80,P,B,x,,55.1,,1992-09-28,16201,5.10,1.70,
Minaya,Juan,28,2.10,P,B,x,,46.2,,1990-09-18,10341,0.40,1.70,
O'Brien,Peter,28,4.90,IF-OF,B,,,,74,1990-07-15,13288,2.90,2.00,
Cordero,Jimmy,27,-1.90,P,B,x,,19.0,,1991-10-19,15690,-3.60,1.70,
Brasier,Ryan,31,9.90,P,B,x,,33.2,,1987-08-26,5615,8.30,1.60,
Bote,David,25,4.80,IF,B,,,,210,1993-04-07,14593,-0.10,4.90,
Altavilla,Dan,26,6.00,P,B,x,,20.2,,1992-09-08,16507,4.40,1.60,
Cedeno,Xavier,32,4.80,P,B,x,,33.1,,1986-08-26,36,3.20,1.60,
Wendelken,J.B.,25,3.90,P,B,x,,16.2,,1993-03-24,14506,2.30,1.60,
Musgrave,Harrison,26,-6.10,P,B,x,,44.2,,1992-03-03,16532,-7.70,1.60,
Pruitt,Austin,29,2.00,P,B,x,,69.2,,1989-08-31,15290,0.50,1.50,
Kolarek,Adam,29,-1.90,P,B,x,,34.1,,1989-01-14,10843,-3.40,1.50,
Kivlehan,Patrick,28,4.50,OF,B,,,,14,1989-12-22,13910,0.70,3.80,
Mayers,Mike,27,-5.70,P,B,x,,51.2,,1991-12-06,15451,-7.20,1.50,
Araujo,Pedro,25,5.40,P,B,x,,28.0,,1993-07-02,17697,4.00,1.40,
Kelley,Shawn,34,4.00,P,B,x,,49.0,,1984-04-26,7773,2.60,1.40,
Workman,Brandon,30,2.20,P,B,x,,41.1,,1988-08-13,11428,0.80,1.40,
Lin,Tzu-Wei,24,4.30,IF,B,,,,73,1994-02-15,14678,5.30,-1.10,
McGuire,Deck,29,-5.30,P,B,x,4,38.0,,1989-06-23,11596,-6.70,1.40,
Velazquez,Andrew,24,4.00,IF-OF,B,,,,12,1994-07-14,14196,1.60,2.40,
Goodwin,Brian,28,4.00,OF,A,,,,180,1990-11-02,12858,3.10,0.90,
Barnette,Tony,35,4.50,P,B,x,,26.1,,1983-11-09,3555,3.20,1.30,
Bummer,Aaron,25,4.40,P,B,x,,31.2,,1993-09-21,16258,3.10,1.30,
De Los Santos,Enyel,22,-2.80,P,B,x,2,19.0,,1995-12-25,18403,-4.10,1.30,
Stumpf,Daniel,27,-4.20,P,B,x,,38.1,,1991-01-04,13780,-5.50,1.30,
Ferguson,Caleb,22,5.70,P,B,x,3,49.0,,1996-07-02,19349,4.50,1.20,
Diaz,Miguel,24,3.80,P,B,x,,18.2,,1994-11-28,18815,2.60,1.20,
Maton,Phil,25,3.70,P,B,x,,47.1,,1993-03-25,18064,2.50,1.20,
Alvarez,Pedro,31,3.70,IF,V,,,,127,1987-02-06,2495,2.10,1.60,
Fletcher,David,24,3.70,IF-OF,A,,,,307,1994-05-31,17992,3.30,0.40,
Venditte,Pat,33,2.20,P,B,x,,14.0,,1985-06-30,7108,1.00,1.20,
Farmer,Kyle,28,3.60,IF,B,,,,77,1990-08-17,14813,1.80,1.70,
Skole,Matt,29,3.60,IF-OF,B,,,,13,1989-07-30,12119,2.70,1.00,
Barnes,Brandon,32,3.60,OF,A,,,,21,1986-05-15,629,1.40,2.20,
Jackson,Luke,27,0.60,P,B,x,,40.2,,1991-08-24,11752,-0.60,1.20,
Milone,Tommy,31,-10.50,P,B,x,4,26.1,,1987-02-16,7608,-11.70,1.20,
Keller,Brad,23,15.00,P,B,x,20,210.1,,1995-07-27,15734,13.90,1.10,x
Ramirez,Noe,28,4.90,P,B,x,1,124.6,,1989-12-22,12800,3.80,1.10,x
Briceno,Jose,26,3.40,C,B,,,,128,1992-09-19,13151,-3.40,6.70,
Plouffe,Trevor,32,3.40,IF,V,,,,12,1986-06-15,7462,2.20,1.20,
Zagunis,Mark,25,3.30,OF,B,,,,6,1993-02-05,16565,1.10,2.20,
McRae,Alex,25,3.60,P,B,x,,6.1,,1993-04-06,16317,2.50,1.10,
Suero,Wander,27,3.20,P,B,x,,47.2,,1991-09-15,15855,2.10,1.10,
Erlin,Robbie,28,3.10,P,B,x,12,163.5,,1990-10-08,10354,2.00,1.10,x
Taylor,Beau,28,3.10,C,B,,,,6,1990-02-13,12384,2.10,1.00,
Cave,Jake,26,3.10,OF,A,,,,309,1992-12-04,14477,5.00,-1.90,
Locastro,Tim,26,3.10,OF,B,,,,14,1992-07-14,15124,1.20,1.90,
Poyner,Bobby,26,-2.00,P,B,x,,22.1,,1992-12-01,17987,-3.10,1.10,
Vincej,Zach,27,3.00,IF,B,,,,4,1991-05-01,13269,0.90,2.20,
Berti,Jon,28,2.90,IF,B,,,,15,1990-01-22,12037,1.60,1.20,
Fontana,Nolan,27,2.90,IF,B,,,,12,1991-06-06,13267,2.20,0.70,
Perez,Michael,26,2.80,C,B,,,,80,1992-08-07,12977,0.10,2.70,
Petit,Gregorio,34,2.80,IF-OF,A,,,,67,1984-12-10,3812,0.70,2.10,
Rondon,Jose,24,2.80,IF-OF,B,,,,107,1994-03-03,14140,3.60,-0.90,
Kittredge,Andrew,28,-11.50,P,B,x,3,38.1,,1990-03-17,12828,-12.60,1.10,
Fry,Paul,26,5.70,P,B,x,,37.2,,1992-07-26,15832,4.70,1.00,
James,Joshua,25,5.40,P,B,x,3,23.0,,1993-03-08,16794,4.40,1.00,
Moore,Adam,34,2.50,C,A,,,,20,1984-05-08,9362,-0.10,2.60,
Greiner,Grayson,26,2.50,C,B,,,,116,1992-10-11,17062,-1.50,4.10,
Viloria,Meibrys,21,2.50,C,B,,,,29,1997-02-15,17109,1.30,1.30,
Orf,Nate,28,2.50,IF-OF,B,,,,25,1990-02-01,15407,2.40,0.20,
Snyder,Brandon,32,2.50,IF-OF,B,,,,6,1986-11-23,9856,0.90,1.70,
Reed,Michael,26,2.50,OF,B,,,,7,1992-11-18,13228,1.50,1.00,
Stevenson,Andrew,24,2.50,OF,B,,,,86,1994-06-01,17932,0.70,1.80,
Floro,Dylan,27,11.30,P,B,x,,64.0,,1990-12-27,13394,10.40,0.90,
Graterol,Juan,29,2.40,C,B,,,,9,1989-02-14,5398,1.00,1.40,
Florimon,Pedro,32,2.40,IF,A,,,,76,1986-12-10,8385,0.60,1.80,
Cooper,Garrett,27,2.40,IF-OF,B,,,,38,1990-12-25,15279,0.00,2.40,
Galloway,Isaac,29,2.40,OF,B,,,,74,1989-10-10,5238,-2.40,4.80,
Rucinski,Drew,29,4.80,P,B,x,,35.1,,1988-12-30,12499,3.90,0.90,
Lopez,Pablo,22,2.40,P,B,,10,,,1996-03-07,17085,0.10,2.30,
Sherfy,Jimmie,26,3.80,P,B,x,,16.1,,1991-12-27,15118,2.90,0.90,
Hudson,Joe,27,2.30,C,B,,,,12,1991-05-21,14412,-0.10,2.30,
Gentry,Craig,35,2.30,OF,A,,,,169,1983-11-29,9571,1.50,0.70,
