level,pos,G,H,R,-1,2B,3B,AB,BB,CS,HR,PA,SB,SO,AVG,BsR,Def,Fld,HBP,OBP,OPS,Off,RBI,SLG,WAR,Name,Team,wOBA,wRC+,playerid
B,IF,143,152,70,,28,6,554,39,3,13,609,8,79,.274,1.9,1.5,-0.8,8,.328,.747,6.8,62,.419,2.8,Jeff McNeil,Mets,.322,107,15362
A,IF-OF,143,152,66,,31,3,561,29,4,7,604,10,70,.271,1.1,4.7,2.3,5,.311,.683,-6.4,56,.372,1.9,David Fletcher,Angels,.298,90,17992
B,OF,146,149,76,,30,4,581,45,6,17,640,17,108,.256,1.4,-2.1,-4.5,4,.312,.720,-2.2,62,.407,1.7,Cedric Mullins II,Orioles,.312,95,17929
A,C,113,89,46,,22,2,393,30,1,11,435,3,97,.227,-0.4,9.9,0.5,6,.289,.669,-9.1,46,.380,1.6,Josh Phegley,Athletics,.290,83,9308
B,OF,146,133,69,,23,1,531,52,1,28,594,2,152,.250,0.3,-10.7,-3.4,4,.319,.775,7.3,79,.456,1.6,Franmil Reyes,Padres,.331,110,14566
A,IF-OF,65,62,33,,12,1,236,22,1,12,267,3,60,.261,-0.1,-0.2,-1.3,5,.336,.808,5.9,37,.472,1.5,Jung Ho Kang,,.347,119,17182
B,IF,123,114,63,,20,1,436,44,1,21,493,2,111,.262,0.3,-10.6,0.3,6,.335,.794,9.0,66,.458,1.5,Luke Voit,Yankees,.341,115,14811
B,C,120,132,55,,24,2,454,15,3,13,481,7,30,.291,0.2,-5.7,-0.9,6,.320,.762,2.5,59,.442,1.3,Willians Astudillo,Twins,.327,104,15608
B,C,105,87,39,,18,1,373,27,1,8,408,2,89,.235,0.0,9.9,1.1,2,.288,.643,-11.0,40,.355,1.3,Michael Perez,Rays,.281,77,12977
B,C,93,77,33,,15,1,320,33,1,6,362,1,68,.240,0.0,9.1,1.3,3,.314,.663,-8.7,34,.349,1.2,Spencer Kieboom,Nationals,.294,80,13300
A,IF,138,121,67,,24,2,489,55,1,21,556,3,121,.248,0.2,-15.5,-0.2,6,.329,.763,8.5,72,.434,1.2,Tyler White,Astros,.330,112,15564
A,IF,125,114,43,,19,4,461,29,2,10,499,4,97,.247,-0.2,6.4,0.2,2,.292,.660,-11.5,47,.368,1.1,J.T. Riddle,Marlins,.286,82,17642
B,IF-OF,138,135,58,,25,5,520,24,6,15,554,11,110,.259,-0.2,0.0,-6.0,3,.293,.703,-7.6,62,.410,1.1,Ronny Rodriguez,Tigers,.302,89,11875
B,OF,120,117,46,,22,4,441,32,1,12,483,3,82,.266,0.4,-8.2,-1.8,4,.319,.730,1.6,51,.411,0.9,Austin Dean,Marlins,.317,102,18288
A,OF,109,97,46,,19,2,391,29,2,12,430,4,123,.248,0.3,-0.2,-1.8,4,.305,.702,-6.0,48,.397,0.8,Jake Cave,Twins,.303,88,14477
