level,pos,G,H,L,W,BB,ER,GS,HR,IP,SO,SV,ERA,FIP,K/9,WAR,BB/9,Name,Team,WHIP,RA9-WAR,playerid
B,P,32,207,11,12,38,88,32,26,198.0,161,0,4.02,3.92,7.32,2.7,1.72,Miles Mikolas,Cardinals,1.24,2.3,9803
B,P,24,124,7,10,61,62,24,18,142.0,161,0,3.96,3.96,10.21,2.2,3.88,Joshua James,Astros,1.30,1.9,16794
B,P,24,144,9,8,33,62,24,18,137.0,110,0,4.11,4.05,7.22,1.8,2.18,Robbie Erlin,Padres,1.29,1.3,10354
B,P,28,157,10,9,50,68,28,17,158.0,130,0,3.85,3.97,7.40,1.6,2.86,Andrew Suarez,Giants,1.31,2.0,18300
B,P,23,120,8,7,43,57,23,15,124.0,113,0,4.13,4.13,8.23,1.2,3.12,Trevor Richards,Marlins,1.32,1.1,19309
B,P,16,94,5,5,23,39,16,9,85.0,59,0,4.14,4.12,6.21,1.0,2.47,Brett Anderson,,1.38,1.0,8223
B,P,19,102,7,7,47,51,19,15,110.0,104,0,4.18,4.44,8.51,1.0,3.85,Jalen Beeks,Rays,1.35,1.3,17192
B,P,65,52,3,4,24,22,0,6,65.0,79,4,3.11,3.18,10.97,1.0,3.26,Diego Castillo,Rays,1.16,0.9,17496
B,P,24,153,10,7,57,74,24,17,143.0,101,0,4.62,4.58,6.36,1.0,3.56,Brad Keller,Royals,1.46,1.1,15734
B,P,16,88,5,6,43,41,16,9,91.0,82,0,4.07,4.22,8.13,1.0,4.24,Framber Valdez,Astros,1.44,1.1,17295
B,P,29,121,7,7,34,56,19,16,118.0,93,0,4.27,4.32,7.11,0.9,2.62,Yonny Chirinos,Rays,1.32,1.2,16401
B,P,46,125,7,6,39,61,16,18,120.0,97,0,4.53,4.53,7.26,0.9,2.90,Blaine Hardy,Tigers,1.36,0.8,6499
B,P,33,143,9,8,52,70,23,20,140.0,111,0,4.51,4.68,7.11,0.9,3.33,Ryan Yarbrough,Rays,1.39,0.9,16502
B,P,28,159,11,8,53,78,28,22,159.0,123,0,4.44,4.54,7.00,0.8,3.03,Dereck Rodriguez,Giants,1.34,1.0,14509
B,P,34,127,8,7,47,64,19,17,124.0,98,0,4.65,4.67,7.10,0.7,3.41,Chris Bassitt,Athletics,1.40,0.6,12304
B,P,16,92,6,5,33,42,16,11,87.0,68,0,4.36,4.46,7.00,0.7,3.43,Wade Miley,,1.43,0.8,8779
B,P,23,124,8,8,50,65,23,20,127.0,112,0,4.64,4.75,7.97,0.7,3.55,Felix Pena,Angels,1.38,0.8,13403
B,P,13,63,4,4,38,35,13,10,72.0,84,0,4.39,4.41,10.45,0.7,4.69,Freddy Peralta,Brewers,1.39,0.6,18679
B,P,65,53,3,3,29,25,0,7,65.0,81,14,3.41,3.45,11.28,0.6,3.96,Seranthony Dominguez,Phillies,1.25,0.6,19249
B,P,16,86,6,5,43,44,16,11,87.0,79,0,4.53,4.61,8.13,0.6,4.43,Francisco Liriano,,1.48,0.7,3201
B,P,11,64,4,4,24,32,11,9,64.0,55,0,4.43,4.52,7.74,0.6,3.33,Kyle McGowin,Nationals,1.36,0.6,15071
B,P,16,96,6,5,33,48,16,14,89.0,69,0,4.83,4.80,6.91,0.6,3.29,Sal Romano,Reds,1.44,0.3,13690
B,P,45,34,2,2,19,16,0,5,45.0,58,0,3.27,3.40,11.65,0.6,3.90,Ryne Stanek,Rays,1.20,0.6,15947
B,P,38,47,3,3,17,23,3,7,53.0,57,0,3.85,3.90,9.69,0.5,2.89,Wilmer Font,Rays,1.21,0.5,5257
B,P,65,56,3,3,30,26,0,7,65.0,75,5,3.59,3.74,10.43,0.5,4.12,Jace Fry,White Sox,1.31,0.6,16159
B,P,13,73,5,4,26,36,13,9,72.0,60,0,4.47,4.40,7.57,0.5,3.24,Brett Kennedy,Padres,1.38,0.5,17877
