level,pos,G,H,L,W,BB,ER,GS,HR,IP,SO,SV,ERA,FIP,K/9,WAR,BB/9,Name,Team,WHIP,RA9-WAR,playerid
B,P,13,68,4,5,19,29,13,9,74.0,77,0,3.58,3.48,9.35,1.4,2.26,Chris Paddack,Padres,1.17,1.2,sa875195
B,,15,87,5,5,27,44,15,13,83.0,66,0,4.80,4.73,7.12,0.6,2.90,Julian Merryweather,Blue Jays,1.38,0.4,sa829363
B,P,13,79,5,4,32,40,13,11,74.0,54,0,4.89,4.95,6.61,0.5,3.91,Brett Martin,Rangers,1.51,0.7,sa828879
B,,6,40,2,2,13,21,6,6,37.0,27,0,5.01,4.93,6.56,0.3,3.18,Clayton Blackburn,Rangers,1.45,0.3,sa598302
B,P,16,47,3,3,21,24,6,7,47.0,42,0,4.59,4.67,8.07,0.3,4.05,Joe Palumbo,Rangers,1.44,0.4,sa738453
B,P,15,88,6,4,46,49,15,12,83.0,65,0,5.33,5.33,7.04,0.2,4.99,Jonathan Hernandez,Rangers,1.61,0.3,sa737482
B,,6,40,2,2,13,21,6,6,37.0,27,0,5.12,5.11,6.67,0.2,3.26,Ronald Herrera,Rangers,1.44,0.3,15688
B,P,8,47,3,2,19,25,8,7,46.0,38,0,4.78,4.87,7.34,0.2,3.76,Max Povse,Mariners,1.44,0.2,16165
B,,8,51,3,3,13,25,8,8,46.0,32,0,4.98,4.95,6.27,0.2,2.56,Brady Rodgers,Astros,1.39,0.1,13393
B,P,35,32,2,2,16,16,0,5,35.0,38,0,4.23,4.34,9.74,0.1,4.02,Ben Heller,Yankees,1.35,0.1,15100
B,,5,29,2,1,10,14,5,3,28.0,19,0,4.41,4.49,6.24,0.1,3.39,Chase Johnson,Giants,1.43,0.2,sa549740
B,P,6,39,3,2,17,22,6,7,37.0,30,0,5.46,5.50,7.21,0.0,4.04,Jordan Stephens,White Sox,1.51,-0.1,sa875031
B,,13,30,2,1,12,16,3,4,28.0,21,0,5.05,5.09,6.60,-0.1,3.75,Andres Machado,Royals,1.47,0.0,14681
