year,name,reason,player_id,player_name,lg,tm,first,last,use,b_p,c,1b,2b,3b,ss,lf,cf,rf
2019,D.J. Stewart,No MLB PlayerStatSeason found for 2019,23531,D.J. Stewart,AL,BO,D.J.,Stewart,REG,BAT,,,,,,4,,4
2019,Carlos Gonzalez,No MLB PlayerStatSeason found for 2019,37621,Carlos Gonzalez,AL,CI,Carlos,Gonzalez,ADD,BAT,,,,,,3,,3
2019,Hanley Ramirez,No MLB PlayerStatSeason found for 2019,40133,Hanley Ramirez,AL,CI,Hanley,Ramirez,COMP,BAT,,,,,,,,
2019,Jose Ramirez,No MLB PlayerStatSeason found for 2019,38959,Jose Ramirez,AL,CI,Jose,Ramirez,REG,BAT,,,,1(B2),,,,
2019,Giovanny Urshela,No player found,,,AL,NY,Giovanny,Urshela,REG,BAT,,4,,2,5,,,
2019,Dee Gordon,No player found,,,AL,SM,Dee,Gordon,REG,BAT,,,2,,4,,,
2019,Donnie Walton,No player found,,,AL,SM,Donnie,Walton,COMP,BAT,,,4,,4,,,
2019,Michael Brosseau,No player found,,,AL,TB,Michael,Brosseau,ADD,BAT,,4,4,3,,4,,4
2019,Johnny Davis,No player found,,,AL,TB,Johnny,Davis,COMP,BAT,,,,,,,4,
2019,Matt Duffy,No MLB PlayerStatSeason found for 2019,36823,Matt Duffy,AL,TB,Matt,Duffy,ADD,BAT,,,,3,4,,,
2019,Isiah Kiner,No player found,,,AL,TE,Isiah,Kiner-Falefa,REG,BAT,4,,,3,,,,
2019,Nick Castellanos,No player found,,,NL,CC,Nick,Castellanos,REG,BAT,,,,,,5(B4),,5(B4)
2019,Carlos Gonzalez,No MLB PlayerStatSeason found for 2019,37621,Carlos Gonzalez,NL,CC,Carlos,Gonzalez,COMP,BAT,,,,,,3,,3
2019,Christian Colon,No MLB PlayerStatSeason found for 2019,40003,Christian Colon,NL,CN,Christian,Colon,COMP,BAT,,,3,,,,,
2019,J.T. Riddle,No player found,,,NL,MI,J.T.,Riddle,ADD,BAT,,,,,4,,4,
2019,Cesar Hernandez,No MLB PlayerStatSeason found for 2019,37050,Cesar Hernandez,NL,PH,Cesar,Hernandez,REG,BAT,,,3,,,,,
2019,Jose Martinez,No MLB PlayerStatSeason found for 2019,33188,Jose Martinez,NL,SC,Jose,Martinez,REG,BAT,,,,,,5(B4),,5(B4)
2019,Seth Mejias,No player found,,,NL,SD,Seth,Mejias-Brean,COMP,BAT,,4,,4,4,,,
2019,Juan Soto,No MLB PlayerStatSeason found for 2019,25780,Juan Soto,NL,WN,Juan,Soto,REG,BAT,,,,,,2,,
2020,Luis Gonzalez,No MLB PlayerStatSeason found for 2020,37736,Luis Gonzalez,,CH,Luis,Gonzalez,COMP,B,,,,,,,4,
2020,Cesar Hernandez,No MLB PlayerStatSeason found for 2020,37050,Cesar Hernandez,,CI,Cesar,Hernandez,REG,B,,,1(B2),,,,,
2020,Jose Ramirez,No MLB PlayerStatSeason found for 2020,38959,Jose Ramirez,,CI,Jose,Ramirez,REG,B,,,,2(B3),,,,
2020,Oscar Hernandez,No MLB PlayerStatSeason found for 2020,27300,Oscar Hernandez,,KC,Oscar,Hernandez,COMP,B,3,,,,,,,
2020,Dee Strange,No player found,,,,SM,Dee,Strange-Gordon,REG,B,,,2,,3,4,,
2020,Nate Lowe,No player found,,,,TB,Nate,Lowe,ADD,B,,4,,5,,,,
